g,SOMDE,SpatialDE,adj_pvalue
AC010616.1,8.819583644596853e-06,4.323777059764105e-09,1.2163830779147838e-12
IGSF6,8.819583644596853e-06,0.0,0.0
ANK2,8.819583644596853e-06,1.0,0.00011146662447020288
ZNF763,8.819583644596853e-06,0.6018165634147579,6.977776100979729e-05
CCL26,8.819583644596853e-06,1.0,0.00011146662447020288
ZNF595,8.819583644596853e-06,1.0,0.00011146662447020288
TIGAR,8.819583644596853e-06,1.0,0.00011146662447020288
ST8SIA1,8.819583644596853e-06,0.789244147945688,8.962186131033881e-05
NT5M,8.819583644596853e-06,1.0,0.00011146662447020288
CNTNAP2,8.819583644596853e-06,1.0,0.00011146662447020288
ETFRF1,8.819583644596853e-06,1.0,0.00011146662447020288
CARNMT1,8.819583644596853e-06,1.0,0.00011146662447020288
ASPA,8.819583644596853e-06,1.0,0.00011146662447020288
ANGPTL1,8.819583644596853e-06,1.0,0.00011146662447020288
CRYZL1,8.819583644596853e-06,0.1164094603144639,1.518379657723207e-05
FOXD2,8.819583644596853e-06,0.0024860003684183,4.085949792313979e-07
RASL12,8.819583644596853e-06,0.0,0.0
PTCH2,8.819583644596853e-06,0.0958678901746921,1.2668620017978495e-05
FAM205C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM187B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM196A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM196B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM19A1,8.819583644596853e-06,1.0,0.00011146662447020288
FAM19A2,8.819583644596853e-06,1.0,0.00011146662447020288
FAM19A3,8.819583644596853e-06,1.0,0.00011146662447020288
FAM19A4,8.819583644596853e-06,1.0,0.00011146662447020288
FAM205A,8.819583644596853e-06,1.0,0.00011146662447020288
ZXDA,8.819583644596853e-06,1.0,0.00011146662447020288
FAM209A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM209B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM217A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM218A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM219A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM221B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM228A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM230A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM186A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM187A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM163B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM183A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM162B,8.819583644596853e-06,1.0,0.00011146662447020288
FADS6,8.819583644596853e-06,1.0,0.00011146662447020288
FAM106A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM124B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM135B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM151A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM151B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM155A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM163A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM181A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM231B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM166B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM169B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM170A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM170B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM178B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM180B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM231A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM240A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM231C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM81A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM71A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM71C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM71E2,8.819583644596853e-06,1.0,0.00011146662447020288
FAM71F1,8.819583644596853e-06,1.0,0.00011146662447020288
FAM72B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM72C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM72D,8.819583644596853e-06,1.0,0.00011146662447020288
FAM81B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM53A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM83B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM83C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM86B2,8.819583644596853e-06,1.0,0.00011146662447020288
FAM90A1,8.819583644596853e-06,1.0,0.00011146662447020288
FAM90A26,8.819583644596853e-06,1.0,0.00011146662447020288
FAM92B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM95C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM69C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM47E-STBD1,8.819583644596853e-06,1.0,0.00011146662447020288
FAM231D,8.819583644596853e-06,1.0,0.00011146662447020288
FAM240B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM236A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM236B,8.819583644596853e-06,1.0,0.00011146662447020288
FAM236C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM236D,8.819583644596853e-06,1.0,0.00011146662447020288
FAM237A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM237B,8.819583644596853e-06,1.0,0.00011146662447020288
FABP7,8.819583644596853e-06,1.0,0.00011146662447020288
FAM24A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM47C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM25A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM25C,8.819583644596853e-06,1.0,0.00011146662447020288
FAM25G,8.819583644596853e-06,1.0,0.00011146662447020288
FAM26D,8.819583644596853e-06,1.0,0.00011146662447020288
FAM46D,8.819583644596853e-06,1.0,0.00011146662447020288
FAM47A,8.819583644596853e-06,1.0,0.00011146662447020288
FAM47B,8.819583644596853e-06,1.0,0.00011146662447020288
FABP9,8.819583644596853e-06,1.0,0.00011146662447020288
EYA4,8.819583644596853e-06,1.0,0.00011146662447020288
FABP6,8.819583644596853e-06,1.0,0.00011146662447020288
EPB42,8.819583644596853e-06,1.0,0.00011146662447020288
