"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cancer_region","Pancreatic_tissue","FGF19","FGFR1",5.50902304989836e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"2","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR1",3.81359743084063e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"3","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR1",2.21634513592095e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"4","Stroma","Pancreatic_tissue","FGF19","FGFR1",4.39666739784176e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"5","Cancer_region","Pancreatic_tissue","FGF19","FGFR3",9.0139589858851e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"6","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR3",6.24005900059356e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"7","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR3",3.62651051750583e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"8","Stroma","Pancreatic_tissue","FGF19","FGFR3",7.19410660186586e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"9","Cancer_region","Pancreatic_tissue","FGF19","FGFR4",3.50592107820389e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"10","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR4",2.4269176607238e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"11","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR4",1.41045391517497e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"12","Stroma","Pancreatic_tissue","FGF19","FGFR4",2.79797705127146e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"13","Cancer_region","Duct_epithelium","PDGFB","PDGFRA",2.42216860091033e-06,0.03,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"14","Cancer_region","Pancreatic_tissue","PDGFB","PDGFRA",1.83992676047523e-06,0,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
