,Ligand0,Receptor0,Receptor1,perm_pval,fdr,selected
EFNB1_EPHB3,EFNB1,EPHB3,,0.0,0.0,True
EFNB1_EPHB4,EFNB1,EPHB4,,0.0,0.0,True
EFNA5_EPHA2,EFNA5,EPHA2,,0.8,1.0,False
ESAM_ESAM,ESAM,ESAM,,0.10799999999999998,0.18130909090909086,False
F11R_F11R,F11R,F11R,,0.009000000000000008,0.016294117647058837,True
JAM1_ITGAL_ITGB2,F11R,ITGB2,,0.038000000000000034,0.06704458598726121,True
ICAM1_ITGAX_ITGB2,ICAM1,ITGAX,ITGB2,0.0,0.0,True
ICAM1_ITGAL_ITGB2,ICAM1,ITGB2,,0.0,0.0,True
ICAM2_ITGAL_ITGB2,ICAM2,ITGB2,,0.0,0.0,True
ICAM1_ITGAM_ITGB2,ICAM1,ITGB2,,0.0,0.0,True
ICAM2_ITGAM_ITGB2,ICAM2,ITGB2,,0.0,0.0,True
ITGB2_ICAM1,ITGB2,ICAM1,,0.0,0.0,True
ITGB2_ICAM2,ITGB2,ICAM2,,0.0,0.0,True
CD46_JAG1,CD46,JAG1,,1.0,1.0,False
CD6_ALCAM,CD6,ALCAM,,0.0,0.0,True
CD99_CD99,CD99,CD99,,0.0,0.0,True
ADGRE5_CD55,ADGRE5,CD55,,0.0,0.0,True
ALCAM_CD6,ALCAM,CD6,,0.0,0.0,True
APP_CD74,APP,CD74,,0.0,0.0,True
CADM1_CADM1,CADM1,CADM1,,0.41700000000000004,0.6794647058823531,False
CDH1_CDH1,CDH1,CDH1,,0.0,0.0,True
CSPG4_ITGA2_ITGB1,CSPG4,ITGA3,ITGB1,0.01100000000000001,0.019785714285714302,True
EFNA2_EPHA2,EFNA2,EPHA2,,1.0,1.0,False
EFNA1_EPHA2,EFNA1,EPHA2,,0.0,0.0,True
CDH1_ITGA1_ITGB1,CDH1,ITGA2,ITGB1,0.999,1.0,False
NRXN2_NLGN2,NRXN2,NLGN2,,0.0,0.0,True
PTPRM_PTPRM,PTPRM,PTPRM,,0.049000000000000044,0.08430434782608702,True
