,ligand,receptor,spc
SEMA3F_PLXNA3,SEMA3F,PLXNA3,0.5574362446400362
SEMA3F_PLXNA1,SEMA3F,PLXNA1,0.9852413242919824
SEMA3F_NRP2,SEMA3F,NRP2,0.9592233009708738
DCN_MET,DCN,MET,0.7133574007220217
GRN_TNFRSF1A,GRN,TNFRSF1A,0.48689138576779023
GRN_SORT1,GRN,SORT1,1.0
GRN_TNFRSF1B,GRN,TNFRSF1B,0.9070877708409841
ICAM3_ITGB2,ICAM3,ITGB2,0.42207792207792205
EFNB1_EPHB6,EFNB1,EPHB6,0.7875019926669855
EFNB1_EPHB4,EFNB1,EPHB4,0.5921486364998502
EFNB1_ERBB2,EFNB1,ERBB2,0.9709119496855346
EFNB1_EPHB3,EFNB1,EPHB3,0.8728686279706689
SEMA4G_PLXNB2,SEMA4G,PLXNB2,0.577980577980578
VCL_ITGB5,VCL,ITGB5,0.08551743239968147
EFNA2_EPHA2,EFNA2,EPHA2,0.7133574007220217
LGALS1_ITGB1,LGALS1,ITGB1,0.0054888888888888895
TIMP1_CD63,TIMP1,CD63,0.09396100808368997
MMP2_PECAM1,MMP2,PECAM1,0.9592233009708738
MMP2_FGFR1,MMP2,FGFR1,0.05039170882976988
PLAT_LRP1,PLAT,LRP1,0.5281727787875548
PLAT_ITGB2,PLAT,ITGB2,0.9070877708409841
TGFB1_ENG,TGFB1,ENG,0.0054888888888888895
TGFB1_SMAD3,TGFB1,SMAD3,0.7762413576367064
TGFB1_ACVRL1,TGFB1,ACVRL1,0.9070877708409841
TGFB1_ITGB6,TGFB1,ITGB6,0.8648459383753502
TGFB1_ITGAV,TGFB1,ITGAV,0.9070877708409841
TGFB1_ITGB1,TGFB1,ITGB1,0.9070877708409841
TGFB1_CXCR4,TGFB1,CXCR4,1.0
TGFB1_ITGB5,TGFB1,ITGB5,0.9070877708409841
COMP_ITGB1,COMP,ITGB1,0.7875019926669855
LAMB1_ITGA7,LAMB1,ITGA7,0.577980577980578
LAMB1_ITGAV,LAMB1,ITGAV,0.7815219110900173
LAMB1_ITGB1,LAMB1,ITGB1,0.1735617039964866
LAMB1_ITGA6,LAMB1,ITGA6,0.8977737392094502
LAMB1_ITGA1,LAMB1,ITGA1,0.577980577980578
LAMB1_ITGA2,LAMB1,ITGA2,0.4812000779271381
PDAP1_PDGFRB,PDAP1,PDGFRB,0.9709119496855346
SERPINE1_PLAUR,SERPINE1,PLAUR,0.577980577980578
SERPINE1_ITGAV,SERPINE1,ITGAV,0.9070877708409841
SERPINE1_LRP1,SERPINE1,LRP1,1.0
SERPINE1_ITGB5,SERPINE1,ITGB5,0.32966299632966295
COL1A1_ITGA5,COL1A1,ITGA5,1.0
COL1A1_CD93,COL1A1,CD93,0.0092625
COL1A1_ITGA1,COL1A1,ITGA1,0.6323604710701485
COL1A1_CD44,COL1A1,CD44,0.02966325599269828
COL1A1_ITGAV,COL1A1,ITGAV,0.02966325599269828
COL1A1_ITGB1,COL1A1,ITGB1,0.02966325599269828
COL1A1_ITGA11,COL1A1,ITGA11,0.4911513223304832
COL1A1_ITGA2,COL1A1,ITGA2,0.32258064516129037
COL1A1_DDR1,COL1A1,DDR1,0.3259112650503051
LAMA4_ITGA6,LAMA4,ITGA6,0.5539669189795347
LAMA4_ITGAV,LAMA4,ITGAV,0.7762413576367064
LAMA4_ITGB1,LAMA4,ITGB1,1.0
HBEGF_CD44,HBEGF,CD44,0.47198203793054033
HBEGF_CD9,HBEGF,CD9,0.3052397429560059
HBEGF_ERBB2,HBEGF,ERBB2,0.9070877708409841
LTF_LRP1,LTF,LRP1,0.9070877708409841
LTF_TFRC,LTF,TFRC,0.834177642688281
CD160_TNFRSF14,CD160,TNFRSF14,1.0
FGF23_FGFR4,FGF23,FGFR4,0.9852413242919824
FGF23_FGFR1,FGF23,FGFR1,0.9709119496855346
FGF23_FGFR3,FGF23,FGFR3,0.38117283950617287
TGFB3_ENG,TGFB3,ENG,0.03283701143312949
TGFB3_ITGB1,TGFB3,ITGB1,0.6323604710701485
TGFB3_ACVRL1,TGFB3,ACVRL1,1.0
TGFB3_ITGB6,TGFB3,ITGB6,0.6401866131017948
TGFB3_ITGB5,TGFB3,ITGB5,0.6654094827586208
TNFSF10_RIPK1,TNFSF10,RIPK1,0.9709119496855346
TNFSF10_TNFRSF10B,TNFSF10,TNFRSF10B,1.0
INHBA_ENG,INHBA,ENG,0.012886956521739129
INHBA_SMAD3,INHBA,SMAD3,0.9709119496855346
C3_CD46,C3,CD46,0.12445205824557866
C3_ITGAX,C3,ITGAX,0.10881057268722467
C3_ADRA2A,C3,ADRA2A,0.577980577980578
C3_ITGB2,C3,ITGB2,0.4911513223304832
C3_CD81,C3,CD81,0.0054888888888888895
LIF_IL6ST,LIF,IL6ST,0.9852413242919824
APOE_LDLR,APOE,LDLR,0.3052397429560059
APOE_LRP5,APOE,LRP5,0.9852413242919824
APOE_LSR,APOE,LSR,1.0
APOE_SCARB1,APOE,SCARB1,0.3268492788143443
APOE_LRP8,APOE,LRP8,0.9070877708409841
LAMA5_SDC1,LAMA5,SDC1,0.577980577980578
LAMA5_ITGA6,LAMA5,ITGA6,1.0
LAMA5_BCAM,LAMA5,BCAM,0.0755952745302075
LAMA5_ITGB1,LAMA5,ITGB1,0.8042328042328042
LAMA5_ITGA2,LAMA5,ITGA2,1.0
JAG1_CD46,JAG1,CD46,0.9476309226932669
JAG1_NOTCH4,JAG1,NOTCH4,0.8977737392094502
JAG1_NOTCH1,JAG1,NOTCH1,0.9476309226932669
JAG1_NOTCH2,JAG1,NOTCH2,0.03283701143312949
JAG1_NOTCH3,JAG1,NOTCH3,0.6016319571306784
LAMC1_ITGA6,LAMC1,ITGA6,0.834177642688281
LAMC1_ITGA1,LAMC1,ITGA1,0.9709119496855346
LAMC1_ITGA7,LAMC1,ITGA7,1.0
LAMC1_ITGAV,LAMC1,ITGAV,1.0
LAMC1_ITGB1,LAMC1,ITGB1,0.9476309226932669
LAMC1_ITGA2,LAMC1,ITGA2,0.9070877708409841
IL1RN_IL1R1,IL1RN,IL1R1,1.0
CCL21_ADRA2A,CCL21,ADRA2A,0.834177642688281
MMP7_CD44,MMP7,CD44,0.5726540311829826
MMP7_SDC1,MMP7,SDC1,0.7222222222222223
MMP7_CD151,MMP7,CD151,0.44384546271338726
THBS1_CD47,THBS1,CD47,0.8648459383753502
THBS1_SDC1,THBS1,SDC1,0.7891373801916932
THBS1_ITGB1,THBS1,ITGB1,0.577980577980578
THBS1_LRP5,THBS1,LRP5,1.0
THBS1_SDC4,THBS1,SDC4,0.7815219110900173
THBS1_SCARB1,THBS1,SCARB1,1.0
THBS1_ITGA6,THBS1,ITGA6,1.0
ADAM10_GPNMB,ADAM10,GPNMB,0.577980577980578
ADAM10_TSPAN15,ADAM10,TSPAN15,0.7201166180758017
