"","combinedPval","adjustedPval"
"SEMA3F_PLXNA3",1.55304225035735e-09,2.00085416742019e-08
"SEMA3F_PLXNA1",6.24232849411044e-07,5.57597560020519e-06
"SEMA3F_NRP2",9.27036225562006e-14,2.15645165631981e-12
"DCN_MET",1.9789481164878e-10,2.9331311510006e-09
"GRN_TNFRSF1A",2.95512547765497e-08,3.13465964630853e-07
"GRN_SORT1",1.9402157658277e-10,2.8885043403264e-09
"GRN_TNFRSF1B",1.63673328769324e-20,1.01528897127621e-18
"ICAM3_ITGB2",1.763405694577e-05,0.000140305810343914
"EFNB1_EPHB6",1.73326317742806e-08,1.94829071099556e-07
"EFNB1_EPHB4",2.7335659291694e-09,3.45031573228791e-08
"EFNB1_ERBB2",2.6447229581894e-05,0.000205545715423847
"EFNB1_EPHB3",0.000236647753679708,0.00170840140194922
"SEMA4G_PLXNB2",0.00056270051374907,0.00396816036867623
"VCL_ITGB5",2.18713935851156e-13,4.78840128264886e-12
"EFNA2_EPHA2",1.54844204125482e-09,2.00085416742019e-08
"LGALS1_ITGB1",8.13892572443834e-21,5.24287199859461e-19
"TIMP1_CD63",4.42921921361972e-10,6.13080245325539e-09
"MMP2_PECAM1",4.31535885725169e-17,1.66151083360707e-15
"MMP2_FGFR1",1.77635683940025e-15,5.50949724568735e-14
"PLAT_LRP1",3.21208074060651e-36,1.79324949139664e-33
"PLAT_ITGB2",4.77185624347953e-10,6.49767160116007e-09
"TGFB1_ENG",1.00821632547578e-18,4.96649869906221e-17
"TGFB1_SMAD3",3.81034537255687e-10,5.4082636188703e-09
"TGFB1_ACVRL1",0.000107005804856009,0.000789508842381552
"TGFB1_ITGB6",4.17226808657745e-10,5.82326397468819e-09
"TGFB1_ITGAV",3.9332336387865e-08,4.09165856734321e-07
"TGFB1_ITGB1",1.4072221801413e-17,5.74849731208119e-16
"TGFB1_CXCR4",1.33536436560284e-16,4.65944364188511e-15
"TGFB1_ITGB5",2.36880515203097e-10,3.48016636430405e-09
"COMP_ITGB1",3.20631678141226e-06,2.71216904849676e-05
"LAMB1_ITGA7",3.51940698806175e-14,8.66834318489669e-13
"LAMB1_ITGAV",5.76951470931952e-05,0.000436255657434815
"LAMB1_ITGB1",3.48180211973683e-25,3.76225220001056e-23
"LAMB1_ITGA6",1.94024315125496e-06,1.67938669214874e-05
"LAMB1_ITGA1",1.71107461532927e-10,2.57021585683873e-09
"LAMB1_ITGA2",1.11469833363742e-09,1.47003998804417e-08
"PDAP1_PDGFRB",1.60316204755873e-13,3.58007131024764e-12
"SERPINE1_PLAUR",2.80442336020315e-13,6.06062469597368e-12
"SERPINE1_ITGAV",1.96247156081242e-07,1.89443369842691e-06
"SERPINE1_LRP1",2.29687903097187e-05,0.000180606774759972
"SERPINE1_ITGB5",7.6916962601592e-05,0.000572552249684048
"COL1A1_ITGA5",1.161365131957e-16,4.18303354839613e-15
"COL1A1_CD93",3.91651523434788e-08,4.09165856734321e-07
"COL1A1_ITGA1",1.70575553681829e-10,2.57021585683873e-09
"COL1A1_CD44",2.6358351057354e-09,3.34441239500731e-08
"COL1A1_ITGAV",3.00586167281125e-05,0.000232534077901109
"COL1A1_ITGB1",9.4329898336909e-09,1.09334453105902e-07
"COL1A1_ITGA11",7.6973512338333e-32,1.98336874489648e-29
"COL1A1_ITGA2",1.23867326839999e-07,1.22756805508168e-06
"COL1A1_DDR1",6.33074772604658e-08,6.42608670582901e-07
"LAMA4_ITGA6",3.4949823035646e-09,4.31997470152884e-08
"LAMA4_ITGAV",4.07482936282122e-10,5.73506022977244e-09
"LAMA4_ITGB1",1.15900830575603e-19,6.47054424425536e-18
"HBEGF_CD44",3.98825536374048e-07,3.63028442641191e-06
"HBEGF_CD9",5.72986103009043e-13,1.19958111358562e-11
"HBEGF_ERBB2",4.31794999755652e-09,5.22159703504247e-08
"LTF_LRP1",4.21884749357559e-14,1.02404785762232e-12
"LTF_TFRC",1.46297685077457e-09,1.91426915786651e-08
"CD160_TNFRSF14",0.068490948081719,0.465362915847172
"FGF23_FGFR4",2.69221483915488e-16,8.92881558607702e-15
"FGF23_FGFR1",4.10782519111308e-15,1.12786634189378e-13
"FGF23_FGFR3",8.79296635503124e-14,2.07420931517215e-12
"TGFB3_ENG",2.40863890927001e-25,2.88150368727146e-23
"TGFB3_ITGB1",8.74115325418541e-22,6.50671424252693e-20
"TGFB3_ACVRL1",7.62666102543941e-05,0.00056897556593893
"TGFB3_ITGB6",1.02212958763559e-07,1.02203711244783e-06
"TGFB3_ITGB5",1.85106470151908e-08,2.05996867794935e-07
"TNFSF10_RIPK1",5.47905054659736e-11,8.73959938785616e-10
"TNFSF10_TNFRSF10B",3.96852166462125e-07,3.62216478968105e-06
"INHBA_ENG",4.07235404465299e-20,2.39318452302211e-18
"INHBA_SMAD3",4.41456871058676e-11,7.17838213206871e-10
"C3_CD46",5.03554864472733e-10,6.82897237323537e-09
"C3_ITGAX",5.26155117253069e-07,4.75056650461335e-06
"C3_ADRA2A",1.83989601332257e-10,2.75138125010187e-09
"C3_ITGB2",2.167488377669e-08,2.38829905675743e-07
"C3_CD81",1.77635683940025e-15,5.50949724568735e-14
"LIF_IL6ST",2.54717571534864e-38,1.70645332726637e-35
"APOE_LDLR",4.88498130835069e-15,1.33034201786109e-13
"APOE_LRP5",4.09752753949277e-09,4.99108194881352e-08
"APOE_LSR",9.41202287513878e-26,1.21259323043158e-23
"APOE_SCARB1",0.00167149171081493,0.0116161631278042
"APOE_LRP8",2.21608251123051e-05,0.000175075583769655
"LAMA5_SDC1",3.88704934906059e-09,4.76939092088524e-08
"LAMA5_ITGA6",6.6936814291374e-07,5.96324575396899e-06
"LAMA5_BCAM",2.4963777881748e-05,0.000195376377952709
"LAMA5_ITGB1",2.90974639938213e-08,3.11628971086276e-07
"LAMA5_ITGA2",1.77819980962113e-11,3.15155048518843e-10
"JAG1_CD46",1.446863444998e-16,4.99644744176717e-15
"JAG1_NOTCH4",6.56936181824275e-05,0.000494653237811303
"JAG1_NOTCH1",2.30315062577091e-08,2.52119494984541e-07
"JAG1_NOTCH2",2.74718388337813e-06,2.32967933666008e-05
"JAG1_NOTCH3",1.760545065288e-08,1.96576412479124e-07
"LAMC1_ITGA6",1.0570776736607e-05,8.6786515261099e-05
"LAMC1_ITGA1",4.54923765325077e-10,6.27101536373855e-09
"LAMC1_ITGA7",3.69171360148357e-12,7.06635523595297e-11
"LAMC1_ITGAV",8.35845903601751e-09,9.75550677675463e-08
"LAMC1_ITGB1",9.65894031423886e-14,2.23134638450338e-12
"LAMC1_ITGA2",3.71864539161493e-10,5.30056808393327e-09
"IL1RN_IL1R1",6.68354260824344e-14,1.59913157556075e-12
"CCL21_ADRA2A",2.63362665009481e-11,4.50094442131252e-10
"MMP7_CD44",1.34619504905675e-05,0.000108397726037631
"MMP7_SDC1",1.59967816011903e-19,8.78432294813374e-18
"MMP7_CD151",1.39350164518603e-07,1.36087701524525e-06
"THBS1_CD47",5.40071045662671e-08,5.49870612668144e-07
"THBS1_SDC1",2.04036787465611e-11,3.57833192446798e-10
"THBS1_ITGB1",6.97169172118074e-28,1.16765271262959e-25
"THBS1_LRP5",1.21679140097086e-08,1.38635455862196e-07
"THBS1_SDC4",0.000273834292186748,0.00196837314126762
"THBS1_SCARB1",0.00012564915009583,0.000918966311094337
"THBS1_ITGA6",1.28437497316503e-05,0.000104309941895621
"ADAM10_GPNMB",1.13731246642601e-12,2.2812287787278e-11
"ADAM10_TSPAN15",4.2911008080182e-11,7.04602310769306e-10
"ADAM10_CD44",9.5279669633852e-05,0.000704543080484835
"ADAM10_CADM1",1.1025336199566e-10,1.72577264754229e-09
"ADAM10_TSPAN14",5.01252731410773e-06,4.18714396053109e-05
"ADAM10_NOTCH1",7.49901274410547e-09,8.78301393581653e-08
"ADAM10_MET",1.35350624042019e-07,1.3256829468779e-06
"ADAM10_TSPAN17",6.23945339839338e-14,1.50361710802266e-12
"ADAM10_AXL",4.00501853903279e-12,7.57943403715393e-11
"VWF_SIRPA",2.20315926608983e-05,0.000174466094502375
"CDH1_LRP5",4.15402268139076e-10,5.82205730618414e-09
"CDH1_IGF1R",8.88178419700125e-16,2.80672501195393e-14
"CDH1_ERBB3",1.47881706880071e-13,3.32455635811912e-12
"CDH1_PTPRM",1.25262806907995e-27,1.99805922807945e-25
"CDH1_PTPRF",3.33066907387547e-15,9.53566830984348e-14
"SEMA7A_ITGB1",2.09032442732029e-18,9.46209903525694e-17
"SEMA7A_ITGA1",1.01506247851546e-10,1.59631533008485e-09
"TIMP2_CD44",1.84193021168788e-07,1.78837911542536e-06
"TIMP2_ITGB1",2.44150810679855e-10,3.54039488048856e-09
"LGALS3BP_ITGB1",2.37143638059933e-13,5.15817735638443e-12
"LAMC2_ITGA6",5.68551741797485e-05,0.000430876926621148
"LAMC2_CD151",4.72373327327703e-27,6.87959772783185e-25
"LAMC2_ITGB1",2.67795234890096e-17,1.06789627646789e-15
"LAMC2_ITGA2",1.28608668463759e-05,0.000104309941895621
"LAMC2_COL17A1",8.68156546651733e-10,1.15399258185842e-08
"NID1_ITGB1",8.46622758663972e-27,1.18163735128613e-24
"NID1_PTPRF",2.2784318599145e-05,0.00017957779230091
"ICAM1_ITGAX",5.10635977946094e-11,8.18409454616015e-10
"ICAM1_MUC1",4.84725577212467e-19,2.46012692535887e-17
"ICAM1_ITGB2",9.26816678958886e-09,1.07797047587545e-07
"VCAN_CD44",0.00016750101145635,0.00121973395951844
"VCAN_ITGB1",1.38598734017126e-26,1.85705500718515e-24
"TIMP3_CD44",2.46314537655223e-08,2.67015872805086e-07
"TIMP3_MET",9.25272081175876e-10,1.22505179292183e-08
"LUM_ITGB1",2.43197510567219e-19,1.29307611261308e-17
"CGN_F11R",1.49445122943348e-09,1.94784384172832e-08
"CALM2_INSR",7.9472385827728e-07,7.06123091924659e-06
"CALM2_AQP1",3.48803707577103e-19,1.82560422391051e-17
"APP_LRP10",0.000178697636553649,0.00129283568451024
"APP_PLD1",2.04357647914932e-07,1.96142172730861e-06
"APP_TSPAN15",3.71509683017024e-08,3.90108100060134e-07
"APP_TNFRSF21",2.53719658560581e-06,2.16255459954587e-05
"APP_NCSTN",3.99439146203662e-08,4.14241509558209e-07
"CALM3_INSR",1.46632530773072e-06,1.28917201051842e-05
"CALM3_AQP1",3.36175531856497e-13,7.21850091055152e-12
"TFF2_MUC6",3.10941929584745e-33,1.15729024706158e-30
