,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
TFF2_MUC6,0.20558442692359805,0.0,0.0004248094182808732,9.050072640943946e-142,0.000999000999000999,0.0009690682598882367,0.0,2.2353679423131546e-139,0.000999000999000999
CD99_CD81,0.22131629971905903,0.0,0.0004248094182808732,7.129493272108111e-140,0.000999000999000999,0.0009597507311789835,0.0,8.804924191053517e-138,0.000999000999000999
GRN_TNFRSF1B,0.23575840159678244,3.0088628924753055e-301,0.0004248094182808732,1.3182122314858317e-151,0.000999000999000999,0.0008866361340478739,4.954594229609336e-299,6.511968423540008e-149,0.000999000999000999
AGTRAP_RACK1,0.24653118902553223,6.951428500403567e-293,0.0004248094182808732,3.365441684573061e-131,0.000999000999000999,0.0009372989178815793,8.585014197998405e-291,1.847253546865658e-129,0.000999000999000999
ICAM1_MUC1,0.2546363043917588,1.1389133319702521e-286,0.0004248094182808732,3.6918241902323696e-133,0.000999000999000999,0.0009129350846514747,1.1252463719866091e-284,2.279701437468488e-131,0.000999000999000999
ZG16B_CXCR4,0.2639116182796838,1.2183990146033833e-279,0.0004248094182808732,1.1120726961902448e-125,0.000999000999000999,0.0009333596942314031,1.0031485220234522e-277,1.7167622247436903e-124,0.000999000999000999
SCGB3A1_NOTCH3,0.26943483858117795,1.697522733992802e-275,0.0004248094182808732,9.764968530388072e-121,0.000999000999000999,0.0009770415185511067,1.1979660437034918e-273,6.608074594536586e-120,0.000999000999000999
EFNA5_EPHA2,0.27518424701897715,3.239261145934757e-271,0.0004248094182808732,1.800339239816217e-128,0.000999000999000999,0.0009234599125021695,2.0002437576147123e-269,4.446837922346056e-127,0.000999000999000999
COL5A1_ITGB1,0.2754421060158382,5.030829425686051e-271,0.0004248094182808732,8.632865696159754e-127,0.000999000999000999,0.0009217439566652449,2.7613663736543438e-269,1.5794946866307106e-125,0.000999000999000999
COL3A1_ITGA2,0.27725379827520413,1.1041611405715882e-269,0.0004248094182808732,1.3304955404568563e-130,0.000999000999000999,0.000885459649437597,5.454556034423646e-268,5.9751345180517e-129,0.000999000999000999
LGALS1_ITGB1,0.28256949151997274,9.10893703742904e-266,0.0004248094182808732,2.6238953369428684e-130,0.000999000999000999,0.0008887615108217305,4.09074081499086e-264,1.0410685785057934e-128,0.000999000999000999
EFNA2_EPHA2,0.2831937227557705,2.6150970587215075e-265,0.0004248094182808732,3.2658277553508874e-124,0.000999000999000999,0.0009531390338952181,1.0765482891736873e-263,3.7519044445193916e-123,0.000999000999000999
CALM1_SCTR,0.2862975884102201,4.886429679541083e-263,0.0004248094182808732,4.11383484231114e-123,0.000999000999000999,0.0009111916819636484,1.8568432782256116e-261,4.0644688242034063e-122,0.000999000999000999
TGM2_SDC4,0.28704078931132765,1.7038388961852103e-262,0.0004248094182808732,8.002595704487383e-130,0.000999000999000999,0.000863348495458357,6.012117247967814e-261,2.635521518677845e-128,0.000999000999000999
VCAM1_ITGB1,0.3005555699464865,9.930904927977582e-253,0.0004248094182808732,2.3128123297501785e-134,0.000999000999000999,0.0008313694546165665,3.2705780229472837e-251,2.2850585817931762e-132,0.000999000999000999
CSF1_CSF1R,0.3018527804355292,8.404632625717454e-252,0.0004248094182808732,9.102922835564357e-124,0.000999000999000999,0.0008780708192983307,2.594930323190264e-250,9.775747566888678e-123,0.000999000999000999
MFAP2_NOTCH1,0.3032832982789129,8.818059959510731e-251,0.0004248094182808732,4.932990965030436e-127,0.000999000999000999,0.0008377263168452005,2.5624244823519417e-249,9.747590146900141e-126,0.000999000999000999
LAMC2_ITGB4,0.3044783980747151,6.260721949320305e-250,0.0004248094182808732,8.387013872218108e-141,0.000999000999000999,0.0007749592559793422,1.7182203572023505e-248,1.3810616176252484e-138,0.000999000999000999
COL5A2_ITGB1,0.3046107483050976,7.776886148075303e-250,0.0004248094182808732,1.271842332710776e-133,0.000999000999000999,0.0008032165051319309,2.021990398499579e-248,1.0471501872652055e-131,0.000999000999000999
LAMC2_CD151,0.3053541694058877,2.6272218348973224e-249,0.0004248094182808732,4.824969412989287e-131,0.000999000999000999,0.0008174248037105297,6.489237932196386e-248,2.3835348900167076e-129,0.000999000999000999
COL3A1_ITGB1,0.30804072598942384,2.1152461757136483e-247,0.0004248094182808732,1.4039336077155538e-127,0.000999000999000999,0.0008519992747323111,4.975864813345439e-246,3.01540522700645e-126,0.000999000999000999
HMGB1_CXCR4,0.31120442022527683,3.632936320717219e-245,0.0004248094182808732,3.4084547144192787e-121,0.000999000999000999,0.000875943676468123,8.157593374701392e-244,2.4402559839465557e-120,0.000999000999000999
ADAM12_ITGB1,0.311906763930883,1.1350649127656981e-244,0.0004248094182808732,7.098899599817837e-130,0.000999000999000999,0.0008091810806921833,2.437922030027195e-243,2.5048974302214366e-128,0.000999000999000999
CEL_CXCR4,0.31404321221047893,3.6052453503549863e-243,0.0004248094182808732,1.7406984617597426e-124,0.000999000999000999,0.0008024773334418577,7.42079667948068e-242,2.097329366120275e-123,0.000999000999000999
COL16A1_ITGB1,0.3177082675337999,1.3261548454292894e-240,0.0004248094182808732,1.8473785933376705e-133,0.000999000999000999,0.0007849146437324645,2.6204819745682758e-239,1.303721464441156e-131,0.000999000999000999
HSPG2_ITGA2,0.3179310668151179,1.8972243693086927e-240,0.0004248094182808732,3.314545579383798e-125,0.000999000999000999,0.0008311733283176665,3.6047263016865165e-239,4.308909253198937e-124,0.000999000999000999
MMP1_ITGA2,0.31828321869868353,3.3406732383587e-240,0.0004248094182808732,9.97470438353753e-120,0.000999000999000999,0.0009034103718427367,6.112194739811843e-239,6.009151177399438e-119,0.000999000999000999
SERPINA1_LRP1,0.3192090390254685,1.4764691408922267e-239,0.0004248094182808732,3.4262802180719984e-127,0.000999000999000999,0.0008196577079606216,2.604913412859857e-238,7.052426782198197e-126,0.000999000999000999
CD14_ITGB1,0.3207726085618835,1.8080174843513293e-238,0.0004248094182808732,3.1338519001651376e-128,0.000999000999000999,0.0008055461677150573,3.0798642664467474e-237,7.0369219940071734e-127,0.000999000999000999
PPY_ADRA2A,0.32093394451379864,2.3405766336961567e-238,0.0004248094182808732,2.447415385668678e-128,0.000999000999000999,0.0007975098453698969,3.854149523486338e-237,5.7572533358110816e-127,0.000999000999000999
COL6A1_ITGA2,0.3224714724775271,2.7320726298415413e-237,0.0004248094182808732,4.92277503858596e-120,0.000999000999000999,0.0008772232828783008,4.35368993271523e-236,3.1177575244377747e-119,0.000999000999000999
GRN_TNFRSF1A,0.3226949746275814,3.9031917983039545e-237,0.0004248094182808732,2.739654153962614e-130,0.000999000999000999,0.0007990776632777777,6.025552338631729e-236,1.0410685785057934e-128,0.000999000999000999
MMP1_CD44,0.32281473478205985,4.7251377467425246e-237,0.0004248094182808732,2.96218878090395e-125,0.000999000999000999,0.0008154772383112712,7.073388020881233e-236,3.954922318287977e-124,0.000999000999000999
TIMP2_ITGB1,0.32489015773983365,1.2893465520027803e-235,0.0004248094182808732,4.315813285618805e-125,0.000999000999000999,0.0008444262982372688,1.8733446961452163e-234,5.466696828450487e-124,0.000999000999000999
COL6A3_ITGB1,0.32508447060875245,1.7562514591807053e-235,0.0004248094182808732,1.5281003719935652e-118,0.000999000999000999,0.0008595212644741809,2.478823488100767e-234,7.946121934366538e-118,0.000999000999000999
INHBA_ENG,0.3256641613813643,4.413318799619091e-235,0.0004248094182808732,3.24556228848658e-121,0.000999000999000999,0.000837954543819962,6.05605413058842e-234,2.3578055448711332e-120,0.000999000999000999
COL6A1_ITGB1,0.3265310893799453,1.7482045521171437e-234,0.0004248094182808732,7.157862477417514e-126,0.000999000999000999,0.0007976448184076045,2.3340893209347813e-233,1.219304849601466e-124,0.000999000999000999
LAMB3_ITGA2,0.3291994662951769,1.1963742865595459e-232,0.0004248094182808732,7.342985025608871e-114,0.000999000999000999,0.0008978596355787138,1.5552865725274095e-231,2.4589141512687147e-113,0.000999000999000999
MMP2_PECAM1,0.329448044077321,1.772006588944631e-232,0.0004248094182808732,4.501377467014707e-118,0.000999000999000999,0.0008391463673530803,2.244541679329866e-231,2.180078890887515e-117,0.000999000999000999
S100A10_TRPV6,0.3297172937211282,2.711311621228732e-232,0.0004248094182808732,2.713574123661874e-125,0.000999000999000999,0.0007976619172227062,3.348469852217484e-231,3.723626714136016e-124,0.000999000999000999
LAMB2_ITGB1,0.3303377722433483,7.220481577494166e-232,0.0004248094182808732,8.492872479136027e-122,0.000999000999000999,0.0008313063608551949,8.699799754346629e-231,6.7669016204729e-121,0.000999000999000999
VCAN_ITGB1,0.33200291152061867,9.958782480096358e-231,0.0004248094182808732,5.558495553402212e-122,0.000999000999000999,0.0008179770340896542,1.1713425107541907e-229,4.576494672301154e-121,0.000999000999000999
ANXA1_ADRA2A,0.33279247540002976,3.4482829032413684e-230,0.0004248094182808732,8.958249996193387e-120,0.000999000999000999,0.0008425338787275001,3.961515707444735e-229,5.463426540888313e-119,0.000999000999000999
VEGFA_ITGB1,0.33328162926563165,7.437940385764474e-230,0.0004248094182808732,5.04804328293526e-123,0.000999000999000999,0.0008077827739822512,8.350778524017387e-229,4.889673297588271e-122,0.000999000999000999
LAMB1_ITGB4,0.3363168414286098,8.660369018321851e-228,0.0004248094182808732,9.74689268152036e-121,0.000999000999000999,0.0007989644663296838,9.507160655668878e-227,6.608074594536586e-120,0.000999000999000999
COL7A1_ITGB1,0.3369750286397262,2.422848251853946e-227,0.0004248094182808732,8.592201734000253e-129,0.000999000999000999,0.000762905051668253,2.601928340034455e-226,2.2339724508400655e-127,0.000999000999000999
LAMA4_ITGB1,0.3373615554872802,4.430999171698659e-227,0.0004248094182808732,1.1772208192098462e-125,0.000999000999000999,0.0007768331877500453,4.657262959189654e-226,1.7622638929989816e-124,0.000999000999000999
COL6A2_ITGA2,0.33797402391558545,1.152437829929564e-226,0.0004248094182808732,1.322962801747295e-121,0.000999000999000999,0.0008019958638102023,1.1860505999691761e-225,1.0211619125986933e-120,0.000999000999000999
MMP7_SDC1,0.3381890877762016,1.6117272385808324e-226,0.0004248094182808732,9.022186907971209e-113,0.000999000999000999,0.0008445577537087072,1.6248841956304717e-225,2.6688385224777107e-112,0.000999000999000999
TGFB3_ITGB1,0.3388460022547341,4.487057943519678e-226,0.0004248094182808732,2.891545035693334e-120,0.000999000999000999,0.000828313391990006,4.4332132481974416e-225,1.8550951267954638e-119,0.000999000999000999
HMGB1_SDC1,0.33938183817667233,1.0335856856706486e-225,0.0004248094182808732,7.73553087376281e-115,0.000999000999000999,0.0008294377739416919,1.0011594680809811e-224,2.8517554116707674e-114,0.000999000999000999
AGT_ADRA2A,0.3394544001353798,1.1571707717435707e-225,0.0004248094182808732,1.3399692844422314e-113,0.000999000999000999,0.0008513638822018629,1.0993122331563922e-224,4.2432360674003996e-113,0.000999000999000999
PLAT_LRP1,0.3401972490991607,3.6748927239063915e-225,0.0004248094182808732,8.848880369756357e-113,0.000999000999000999,0.0008531516764988065,3.425277369075014e-224,2.6333415076262893e-112,0.000999000999000999
LUM_ITGB1,0.3415079756472829,2.814225839544515e-224,0.0004248094182808732,2.6538722153488936e-118,0.000999000999000999,0.0008197738202084424,2.5744954902499818e-223,1.3377682391656667e-117,0.000999000999000999
HBEGF_CD82,0.3419746778516781,5.804119902496495e-224,0.0004248094182808732,1.126140959413915e-112,0.000999000999000999,0.0008403512016169067,5.2131549669695794e-223,3.2532961049735325e-112,0.000999000999000999
VCAM1_MSN,0.34257192221922944,1.4646181767877514e-223,0.0004248094182808732,7.366787335784814e-114,0.000999000999000999,0.0008141012581199568,1.2920024630949093e-222,2.4589141512687147e-113,0.000999000999000999
MDK_ITGA6,0.34346947014478924,5.876964116511433e-223,0.0004248094182808732,1.3236326471935756e-125,0.000999000999000999,0.0007750126628906681,5.0933689009765753e-222,1.923160375628313e-124,0.000999000999000999
LAMB1_ITGB1,0.3436791429712668,8.128290145504093e-223,0.0004248094182808732,1.185654548753351e-126,0.000999000999000999,0.0007746829984215044,6.923060917032797e-222,2.091833382443412e-125,0.000999000999000999
C1QA_CD93,0.3439588777200846,1.2526767551294189e-222,0.0004248094182808732,3.5193420622217133e-118,0.000999000999000999,0.0008075015064293744,1.0488513848032762e-221,1.721341563106462e-117,0.000999000999000999
TIMP1_CD63,0.3443395168952841,2.2558335718108635e-222,0.0004248094182808732,2.1256376680773007e-118,0.000999000999000999,0.0008144729637859475,1.8573029741242776e-221,1.0825412453919449e-117,0.000999000999000999
TGM2_ITGB1,0.3446058835622528,3.4040229077296756e-222,0.0004248094182808732,8.752946423492292e-130,0.000999000999000999,0.0007338135044410822,2.7567005187187867e-221,2.702472208253245e-128,0.000999000999000999
AGRN_ITGB1,0.34472787705793634,4.1096474446165526e-222,0.0004248094182808732,3.0317824133405546e-122,0.000999000999000999,0.000771276087170775,3.274461028452544e-221,2.582242262396955e-121,0.000999000999000999
EFNA1_EPHA2,0.34492386662032826,5.561712947325498e-222,0.0004248094182808732,1.1509702896166362e-116,0.000999000999000999,0.0008341923693590098,4.3610891999663424e-221,4.9875379216720895e-116,0.000999000999000999
CALM1_AQP1,0.3452910661375546,9.80160347962123e-222,0.0004248094182808732,7.53985904823528e-117,0.000999000999000999,0.0008098952819108466,7.565612685832637e-221,3.296186167989582e-116,0.000999000999000999
COL18A1_ITGB1,0.3458020035711689,2.1551940073866477e-221,0.0004248094182808732,5.4075269853485734e-120,0.000999000999000999,0.0008021197447625468,1.6379474456138524e-220,3.381415608559741e-119,0.000999000999000999
NID1_ITGB1,0.34598382571555275,2.852288678522885e-221,0.0004248094182808732,9.080540227034473e-119,0.000999000999000999,0.0007988628155825431,2.13489485937925e-220,4.875855295820684e-118,0.000999000999000999
PDGFB_PDGFRB,0.3467769355561437,9.67578315090784e-221,0.0004248094182808732,2.684809686522849e-120,0.000999000999000999,0.0007678689744068451,7.134084890370854e-220,1.7451262962398517e-119,0.000999000999000999
LAMB3_ITGA6,0.3470542010142839,1.482487238380791e-220,0.0004248094182808732,1.3022122777937453e-117,0.000999000999000999,0.0008040649721997392,1.0684491575033242e-219,6.12659871647724e-117,0.000999000999000999
ADAM9_ITGB1,0.34705851873139093,1.4923682564317689e-220,0.0004248094182808732,2.8729858909083237e-119,0.000999000999000999,0.0008024630915282654,1.0684491575033242e-219,1.6313276208146114e-118,0.000999000999000999
COL1A1_ITGA11,0.34743152207906125,2.64874312161223e-220,0.0004248094182808732,7.0670674673411596e-118,0.000999000999000999,0.000792739789572149,1.8692558601092023e-219,3.38944789210343e-117,0.000999000999000999
CD14_RIPK1,0.3483054204910523,1.0144763337847736e-219,0.0004248094182808732,5.1840300000122383e-123,0.000999000999000999,0.0007486887030712563,7.058469139291242e-219,4.924828500011626e-122,0.000999000999000999
COL1A2_ITGA2,0.34839468016476827,1.1634991535359746e-219,0.0004248094182808732,1.3084722634077218e-108,0.000999000999000999,0.0008680675409105947,7.982896970094048e-219,2.7861435263940284e-108,0.000999000999000999
CXCL17_GPR35,0.3493620076800274,5.1324060058965494e-219,0.0004248094182808732,1.0484321262131527e-122,0.000999000999000999,0.0007569699753906804,3.4731624204286235e-218,9.591212413875879e-122,0.000999000999000999
TGM2_ADGRG1,0.35058301796654545,3.33078625048095e-218,0.0004248094182808732,2.245082474041113e-121,0.000999000999000999,0.0007577532654124467,2.2235248753210664e-217,1.680410215418651e-120,0.000999000999000999
COL1A2_CD93,0.35098740862861816,6.183224273164487e-218,0.0004248094182808732,2.457470013795168e-122,0.000999000999000999,0.000771952981745109,4.072683721257676e-217,2.1678396193121663e-121,0.000999000999000999
VCAM1_EZR,0.3511062329467381,7.415279197919045e-218,0.0004248094182808732,4.844803604792278e-109,0.000999000999000999,0.000843555541202106,4.819931478647379e-217,1.0637035470077269e-108,0.000999000999000999
COL4A1_ITGB1,0.3511214407337189,7.589726422846275e-218,0.0004248094182808732,8.545336102366898e-121,0.000999000999000999,0.0007793023028160709,4.869253055696182e-217,5.945628217703166e-120,0.000999000999000999
COL7A1_ITGA2,0.35142438659375946,1.2059957424709e-217,0.0004248094182808732,5.174827497615845e-114,0.000999000999000999,0.0008235730443168155,7.637973035649034e-217,1.7509347834398817e-113,0.000999000999000999
SEMA4D_MET,0.3518587946791887,2.3419465689326594e-217,0.0004248094182808732,1.9208121630975284e-120,0.000999000999000999,0.0007587790822996273,1.464457727914853e-216,1.2665674903304568e-119,0.000999000999000999
COL4A1_ITGA2,0.3523575596084555,5.015006453154634e-217,0.0004248094182808732,6.458503393501598e-113,0.000999000999000999,0.0008529630803145137,3.096766484822987e-216,1.9694448619690058e-112,0.000999000999000999
FGG_ITGB1,0.35332477522282557,2.1919836387458404e-216,0.0004248094182808732,7.069678668215526e-120,0.000999000999000999,0.0007909090911340438,1.33683940437092e-215,4.3655265776230875e-119,0.000999000999000999
PSAP_LRP1,0.35343747872060116,2.60265273978973e-216,0.0004248094182808732,8.348989525624569e-111,0.000999000999000999,0.0008391009931733424,1.5679395773855202e-215,2.170737276662388e-110,0.000999000999000999
IL1RN_IL1R1,0.3540059551398019,6.185780875799292e-216,0.0004248094182808732,3.2328574088169407e-124,0.000999000999000999,0.0007575578929342664,3.6816575333070486e-215,3.7519044445193916e-123,0.000999000999000999
