,SOMDE,SpatialDE,SPARKX,nnSVG,scGCO
BMP2_ENG,6.225041196841822e-06,6.488504405383839e-07,2.262306561176e-25,0,1.5004346036768503e-11
INHBA_ENG,6.225041196841822e-06,8.293909776655857e-13,3.55721126537032e-29,0,6.052088537746186e-28
HSPG2_ITGA2,6.225041196841822e-06,1.2903063773422904e-06,2.99736725860042e-16,0,5.5833358988416456e-11
VEGFA_NRP2,6.225041196841822e-06,0.0193308176818504,7.65905731838004e-09,0,4.0580915643962765e-13
TGFB3_ITGB1,6.225041196841822e-06,1.2904709980348878e-14,2.69972354641447e-48,0,3.8000000000000005e-28
TGFB3_ENG,6.225041196841822e-06,1.6575383041425896e-13,4.7915779405088295e-36,0,1.8363522457465905e-19
HSPG2_SDC1,6.225041196841822e-06,0.0,7.376563318177709e-33,0,8.156899956263757e-23
LAMB3_ITGA2,6.225041196841822e-06,1.0248862645540718e-06,5.1724627496050596e-11,0,1.9906696807621743e-12
COL6A1_ITGA2,6.225041196841822e-06,6.444129817913654e-06,3.57419548466225e-15,0,1.6583694199535046e-12
SEMA3F_NRP2,6.225041196841822e-06,0.0551649822719275,2.9468959449789297e-11,0,2.894167631353178e-09
AGT_ADRA2A,6.225041196841822e-06,5.85980359301488e-08,4.61069993506887e-17,0,4.3747162879253935e-10
PGF_NRP2,6.302985459570967e-06,0.0006087593530482,2.58611674936977e-10,0,1.7273206609890655e-10
LAMC1_ITGA6,6.806417305730991e-06,2.643190445601984e-09,6.69585505842962e-08,0,1.1424858319656614e-16
LAMC2_COL17A1,6.806417305730991e-06,9.036857716695792e-07,1.00542354553646e-05,0,3.109263684734576e-14
TGM2_SDC4,6.806417305730991e-06,0.0,8.802106732239829e-12,0,7.340177943315166e-12
LAMB3_COL17A1,7.292412835801293e-06,6.786220104378532e-10,6.884480528877761e-19,0,2.5117034726374424e-23
CALM1_AQP1,7.292412835801293e-06,0.0,9.26227709950555e-32,0,4.1904856108637857e-22
ADAM9_ITGA6,8.84717211598545e-06,0.0001068565358729,3.53518226822611e-07,0,4.6827213797505664e-14
RTN4_GJB2,8.84717211598545e-06,8.720357769220755e-13,1.2207959613481199e-16,0,1.0089329239838927e-20
TGFB1_ENG,8.84717211598545e-06,2.435770028281019e-07,4.40759779654988e-14,0,9.593119440416649e-19
LAMC1_ITGA2,8.84717211598545e-06,9.750445012673568e-09,1.84663149062348e-13,0,6.6404053895263156e-12
COL6A1_ITGA6,8.84717211598545e-06,1.538398175484321e-06,1.46211851001209e-08,0,8.302289506969119e-11
LAMB3_ITGB4,1.123943752784417e-05,0.0,7.13044038648743e-45,0,6.221815286283962e-23
FN1_ITGA6,1.1588507008240194e-05,0.0003894092394569,0.0003455363625115,0,4.4640880479698585e-08
COL6A2_ITGA2,1.1588507008240194e-05,6.930799396468849e-07,1.44479744031851e-31,0,9.33223354243006e-16
LAMC2_ITGA2,1.1588507008240194e-05,0.0001929872945371,4.65527921290734e-11,0,2.2621409628081104e-08
LAMC3_ITGA2,1.1588507008240194e-05,8.98024409315919e-06,1.37264203848569e-09,0,2.9303029091752e-13
ADAM9_ITGB1,1.1588507008240194e-05,7.982640326531511e-09,5.535334653700071e-19,0,9.806487539067097e-16
LAMA4_ITGA6,1.1588507008240194e-05,0.0002167518479926,1.25533664509572e-06,0,8.144769435157299e-10
COL1A1_ITGB1,1.1588507008240194e-05,2.0329560477406572e-08,1.4510654587364502e-19,0,2.7717518073859773e-16
LAMB1_ITGA6,1.165246568860636e-05,2.579518106353441e-08,5.65724804451038e-07,0,2.4397166760158354e-09
ADAM12_ITGB1,1.165246568860636e-05,1.6403270368412618e-10,1.0110623742375299e-22,0,4.163209026205103e-12
COL1A2_ITGB1,1.165246568860636e-05,2.230573831287738e-11,2.01457178247398e-34,0,1.42478004459553e-24
LAMB2_ITGB1,1.165246568860636e-05,9.025017190111841e-08,1.15926984585862e-28,0,1.8356657642271148e-10
CD99_CD81,1.2249763250080995e-05,0.0,4.4032802220107195e-36,0,3.8000000000000005e-28
LAMC2_ITGB1,1.231696836279572e-05,1.4951375677683804e-08,1.28739520616414e-20,0,6.95773060814321e-14
COL4A1_ITGA2,1.231696836279572e-05,4.205083799800524e-05,4.0160730317542697e-22,0,5.584068644208509e-17
LAMA5_ITGA6,1.231696836279572e-05,0.0004951177739922,6.41345483257464e-08,0,3.798488879496605e-06
VCAM1_ITGB1,1.231696836279572e-05,1.9292113568034727e-09,2.47712432970712e-24,0,8.087047786813544e-16
NID1_ITGB1,1.2817313378764242e-05,3.367498002971059e-08,2.93593433747013e-20,0,9.344539485571793e-13
CXCL1_ADRA2A,1.2817313378764242e-05,6.969887630011348e-13,4.28902806701494e-26,0,8.440504005426864e-28
GPC3_CD81,1.2817313378764242e-05,0.0,6.33254081599323e-38,0,4.885577622629428e-23
COL6A3_ITGA2,1.2944284152160863e-05,5.6838440708949024e-05,6.51487995475438e-14,0,1.262928880556388e-09
FN1_ITGA2,1.3447396180747754e-05,0.0008319973161311,7.91515726624639e-10,0,2.321696889909968e-07
LAMB1_ITGA2,1.5005770996595812e-05,8.303847087587623e-07,7.47778432962988e-08,0,5.894181428117685e-10
LAMC2_ITGA6,1.5005770996595812e-05,2.0452465905035692e-05,1.6734506592543702e-09,0,2.5717504779756613e-11
APOE_LRP1,1.5110478573094864e-05,1.725564996736069e-05,2.0829924077061403e-15,0,8.559431866046418e-13
PLAU_ITGB1,1.574064520328332e-05,7.325379104011675e-11,2.1442535459607697e-30,0,3.658652589683634e-13
APP_ADRA2A,1.574064520328332e-05,2.1959018015518843e-10,1.40830615435524e-16,0,3.8000000000000005e-28
AFDN_NRXN2,1.605530361441106e-05,1.8800950320395157e-10,4.90568740781294e-08,0,9.892541416277277e-14
LAMA4_ITGB1,1.6113877322138304e-05,1.2962883011671278e-08,3.87446625928895e-24,0,3.5120199634888893e-17
CXCL2_ADRA2A,1.6363897730792782e-05,7.51863502878669e-09,8.84171850066426e-08,0,1.1706477558712361e-23
THBS2_ITGA6,1.7598162328809564e-05,2.544968732278084e-07,8.6908930799643e-08,0,9.902647795378848e-12
LAMA5_ITGA2,1.854134506305432e-05,0.0005740167338017,2.65282292379846e-13,0,2.947778154641945e-10
COL3A1_ITGA2,1.914096969601784e-05,1.667267944965418e-05,1.9807507182041e-17,0,4.204706637807793e-16
HMGB1_SDC1,1.94276810414495e-05,1.596017967024605e-08,1.4960873414616902e-17,0,3.7260872122456505e-14
CXCL16_ADRA2A,1.9524944228756267e-05,4.580906186360654e-08,1.08693581974387e-06,0,1.2148979918393414e-24
LAMC3_ITGB1,1.9524944228756267e-05,6.95267058024612e-08,1.01274529512375e-20,0,1.1993920279022621e-14
THBS1_ITGA6,2.000752395681375e-05,0.0004975194852789,1.32497537160617e-05,0,1.368391026766027e-08
COL1A2_ITGA11,2.000752395681375e-05,7.216449660063519e-14,1.3605971747360501e-19,0,3.8000000000000005e-28
HSPG2_ITGB1,2.000752395681375e-05,5.3682197196369685e-06,6.07995796934666e-17,0,1.2857039159428254e-09
NLGN2_NRXN2,2.0106513640842004e-05,1.4276158033510455e-10,2.36470824980974e-10,0,2.092378933388305e-12
COL4A1_ITGB1,2.045705555025962e-05,1.3033419797959698e-10,1.99765918266388e-26,0,1.881801053566157e-12
ADAM15_ITGB1,2.1875627043796325e-05,2.9669097734164035e-10,3.38911302676528e-23,0,1.335635101754604e-14
THBS2_NOTCH3,2.1875627043796325e-05,1.5830266390666608e-13,1.17131043805951e-14,0,1.9649398058880268e-21
CXCL14_CXCR4,2.2365963415192336e-05,0.0001501045469541,9.49443537892368e-32,0,1.7993453206874334e-12
PPY_ADRA2A,2.2365963415192336e-05,3.906728115613386e-12,5.66970323069965e-19,0,4.3149994379861313e-23
TGFB1_ITGB1,2.3575261479494304e-05,1.3271530039382642e-08,3.6986592927455005e-21,0,6.380726845293729e-15
LAMB3_ITGA6,2.3575261479494304e-05,5.498915012225324e-10,2.24032574589722e-08,0,6.59237063920954e-15
VEGFA_ITGB1,2.3575261479494304e-05,2.579518106353441e-08,2.9050932215507204e-19,0,3.2607461731030977e-17
C3_LRP1,2.3575261479494304e-05,4.051615730511617e-06,7.401578052872621e-19,0,2.7015377150189414e-14
ADAM12_SDC4,2.410111859899959e-05,0.0,1.09261690335108e-08,0,3.8000000000000005e-28
LAMC1_ITGB4,2.494731984939797e-05,0.0,1.19893129318743e-43,0,2.7504908514877383e-22
COMP_ITGB1,2.494731984939797e-05,6.31513309178567e-10,8.65679754728624e-12,0,2.202299808858356e-10
COL6A3_ITGB1,2.496179596691371e-05,3.367498002971059e-08,7.6877444279728e-19,0,7.0258821405167375e-25
EFNA5_EPHA2,2.528187283063271e-05,3.6569557111817816e-06,3.17757808601861e-12,0,2.2372058256382716e-17
LAMC3_ITGA6,2.528187283063271e-05,1.911479374324306e-06,1.11865783926233e-07,0,1.746929747366867e-07
LIF_IL6ST,2.528187283063271e-05,0.0001072031752274,3.39713344742734e-19,0,2.1569313108136352e-16
COL1A2_ITGA2,2.781345057778101e-05,7.854639234193256e-07,2.7446370638837004e-20,0,1.887436551304496e-12
COL7A1_ITGB1,2.781345057778101e-05,3.622783868937725e-10,2.57799809400478e-16,0,4.1962436118675146e-12
COL6A1_ITGB1,2.781345057778101e-05,7.220724482603366e-07,2.4199546605630102e-25,0,8.135112591583631e-12
LAMA5_SDC1,2.781345057778101e-05,4.875112659242909e-14,2.93150740213846e-26,0,8.014215460310499e-14
EFNA2_EPHA2,2.8398768038111654e-05,8.083081823993458e-07,1.0525218794827199e-12,0,7.487251883612887e-20
PLAT_LRP1,2.8398768038111654e-05,8.808879551717533e-12,5.33512548953256e-44,0,9.660930805178732e-17
COL16A1_ITGB1,2.9033219280689585e-05,1.737046546084176e-08,1.6858481276636602e-19,0,3.6326565005436186e-11
MDK_ITGA6,2.9033219280689585e-05,3.9933991248932287e-10,4.3049992447308e-09,0,1.5780591627692671e-06
COL1A1_ITGA2,3.130698528298514e-05,1.2237250001077554e-06,1.6868342275719798e-11,0,2.7812780695892346e-13
COL5A1_ITGB1,3.130698528298514e-05,1.0167995389423719e-09,4.04480232211533e-09,0,2.2271791299888137e-15
VWF_LRP1,3.130698528298514e-05,0.0232157719839565,9.175856584551041e-10,0,1.5679895601786399e-13
ANXA1_ADRA2A,3.130698528298514e-05,9.993975533598155e-08,6.31086086941105e-10,0,3.29370640408112e-19
LAMC1_ITGB1,3.273463653767613e-05,1.3200424429011733e-06,8.02642584353732e-14,0,3.893294484476437e-09
FGA_ITGB1,3.285840169018454e-05,6.316942798105055e-08,7.141557423041121e-09,0,7.354910524145596e-23
FBLN1_ITGB1,3.349728083439904e-05,9.041165579808493e-08,6.58899907026322e-16,0,8.264396729620535e-11
C3_ADRA2A,3.3981526673727666e-05,9.852529420527489e-07,3.3651615878210403e-09,0,9.878475858659975e-28
MMP1_ITGA2,3.529545395936802e-05,2.481393572836243e-06,5.083262198465911e-09,0,9.470160942761227e-11
APP_CD74,3.5470366446458475e-05,0.0,2.3073020007951003e-22,0,3.609911883877345e-19
SPP1_ITGB1,3.5470366446458475e-05,8.267449605738815e-08,6.79001104101565e-13,0,1.0515240078042553e-17
TGM2_ITGB1,3.7822317729756986e-05,6.66894725554622e-07,3.62354830787241e-19,0,1.1961497237284971e-08
CCL21_ADRA2A,3.7822317729756986e-05,0.0006635622124611,7.76176172432896e-06,0,9.062488400356257e-19
APP_TSPAN15,3.803661666341113e-05,0.0007907619697884,0.0012691674932593,0,5.2209451412101505e-21
ADAM10_TSPAN15,4.0126887416616457e-05,6.707686488888637e-05,4.36936770896385e-06,0,4.606169419334084e-21
CALM2_AQP1,4.053292025260184e-05,0.0,3.24884349842312e-21,0,3.8000000000000005e-28
TGFB1_CXCR4,4.068649063146899e-05,0.0039591407576291,3.20757174824281e-25,0,6.533601050336483e-11
PDGFB_PDGFRA,4.068649063146899e-05,0.0008206715983768,8.21886127386099e-19,0,3.569582611657019e-07
LGALS3BP_ITGB1,4.080383616488353e-05,6.255573070996482e-07,1.36792941093383e-20,0,4.5471767697725993e-08
FN1_ITGB1,4.080383616488353e-05,1.7646857919384473e-08,3.93554665833009e-05,0,1.4393795762185154e-22
EFEMP2_AQP1,4.080383616488353e-05,0.0,1.08699964610209e-20,0,2.6635870984365148e-21
MDK_ITGB1,4.080383616488353e-05,2.544968732278084e-07,2.7376559054850697e-12,0,3.711602263902422e-11
ZG16B_CXCR4,4.080383616488353e-05,2.665524118155792e-05,6.279465045054269e-30,0,7.156853725578576e-15
LUM_ITGB1,4.114747709159178e-05,4.548797618271877e-06,2.76481063597053e-19,0,7.034118367749853e-08
SAA1_ADRA2A,4.114747709159178e-05,0.051236868920966,0.0008119986493821,0,3.663054356128279e-16
COL7A1_ITGA2,4.256614075887464e-05,5.155006140184191e-07,3.30022533690345e-13,0,2.392192594940749e-12
AGTRAP_RACK1,4.3102565453604846e-05,0.0,5.28652210562607e-18,0,0.0098682480035011
CALM3_AQP1,4.373152145547457e-05,1.4667853495105852e-13,1.96896925340124e-12,0,4.3305327045533225e-17
COL5A2_ITGB1,4.436432384423146e-05,1.30125210444766e-05,5.09993054890961e-17,0,1.739274974383509e-11
AFDN_F11R,4.436432384423146e-05,8.50165633192201e-06,5.1488129998645596e-11,0,3.458341800937783e-17
EFNA1_EPHA2,4.518471140983623e-05,5.706260551311152e-05,1.37006103314321e-05,0,4.765399791324122e-14
AGRN_ITGB1,4.764902900372792e-05,2.632573337364441e-06,3.04691372357323e-10,0,5.915004794505214e-11
FGG_ITGB1,4.893849544821618e-05,0.0001670821151488,7.22158023368377e-11,0,6.67572025261101e-14
SEMA7A_ITGB1,4.893849544821618e-05,1.7475761015796395e-06,5.77578226656591e-10,0,2.1678066202996466e-12
HMGB1_CXCR4,4.978477580248996e-05,0.0004054225403206,2.30861431277063e-25,0,1.1138778377100027e-11
CEL_CXCR4,5.16183824350349e-05,0.0010347728336942,5.5259293212226095e-11,0,5.302852693103518e-11
COL6A2_ITGB1,5.16183824350349e-05,8.587143083919428e-07,2.91899970769742e-23,0,5.456058134583213e-09
CD14_ITGB1,5.16183824350349e-05,1.0034754579734465e-07,1.9807507182041e-17,0,1.6256282752835009e-15
FBN1_ITGB1,5.16183824350349e-05,9.808440950287816e-06,8.62811440334013e-16,0,4.861172163631339e-11
LAMB3_ITGB1,5.246877914167942e-05,8.739024981030471e-07,2.7992039973260897e-12,0,3.564681800225661e-10
COL18A1_ITGB1,5.246877914167942e-05,8.587143083919428e-07,7.80971234576181e-12,0,5.739141317254198e-10
MDK_TSPAN1,5.3289680038921575e-05,0.0,5.93074725137949e-27,0,5.6742802179011335e-27
LAMB1_ITGB1,5.615787050267495e-05,4.444430012468559e-06,5.61920948852777e-12,0,1.281421504638664e-09
LAMA5_ITGB1,5.636875586010074e-05,2.377623218061429e-08,8.80121442153976e-20,0,1.9095919171608408e-21
THBS2_ITGB1,5.755222588695832e-05,8.587143083919428e-07,3.5437482209741304e-17,0,5.674341608144119e-09
HBEGF_CD9,5.974724157048335e-05,1.3265170901510096e-05,1.20084611794424e-08,0,6.141603726893692e-20
THBS1_ITGB1,6.0707398393787605e-05,6.498938949957752e-09,1.45037514992719e-11,0,2.3829660742177465e-18
FGB_ITGB1,7.108545683432989e-05,7.339145069451547e-09,3.1362582207526703e-09,0,2.9089574211957217e-15
COL1A1_ITGA11,7.176397503672948e-05,0.0,6.85501530263888e-30,0,3.8000000000000005e-28
LAMB1_ITGA7,7.291248540363158e-05,7.501083934059848e-07,4.40759779654988e-14,0,3.2526281356468447e-10
SERPINA1_LRP1,7.541326243812417e-05,4.822826343486853e-07,9.52780235902825e-17,0,7.443349382133071e-20
MDK_LRP1,7.806699293677612e-05,5.374843516177523e-06,5.99578899765738e-10,0,3.026989808762941e-12
CDH1_PTPRM,7.806699293677612e-05,5.535486275420723e-05,2.13806193757495e-24,0,1.2414077733066477e-17
LAMC1_ITGA3,8.052077819096141e-05,7.115029286462625e-14,2.40756706875576e-26,0,4.7236558820989585e-22
SEMA3F_PLXNA1,8.092912629146714e-05,0.0036471336360731,0.0011130870536287,0,9.60336797361061e-16
IL1RN_IL1R1,8.109193574389899e-05,1.4322987240689145e-12,1.63289463554127e-08,0,2.1696376759895518e-13
PLAU_LRP1,8.207769145489256e-05,0.0003591368347591,1.70331785076594e-14,0,3.229348757456113e-15
LAMC1_ITGA7,8.469231088310112e-05,5.717140592100782e-05,4.12590150223628e-07,0,2.4511114318094966e-14
PDGFB_LRP1,8.693489131897413e-05,0.0082005920774785,0.0024172597542115,0,9.309509610866284e-19
ADAM10_CADM1,8.693489131897413e-05,1.1334815625712094e-06,4.72045105510669e-06,0,4.854035022418987e-13
AGRN_LRP1,9.303169704020612e-05,0.059797076673132,1.20397198860584e-07,0,1.3291241330777137e-18
C3_ITGB2,9.303169704020612e-05,3.8395320280092345e-08,8.51396981977576e-11,0,1.231797163490008e-16
FGB_ITGB2,9.303169704020612e-05,0.0007764488353592,0.0032598903882984,0,2.3470470226294535e-07
LAMC3_ITGB4,0.0001022088084554,0.0,4.98659937076654e-27,0,4.885577622629428e-23
C3_CD81,0.0001039841548777,0.0,1.2179179038185e-17,0,2.695962245069716e-19
LAMB2_ITGB4,0.0001056991707672,0.0,9.196501030588871e-20,0,1.4541050753340057e-21
CALM1_KCNQ1,0.0001083101147256,0.0,9.33972761964885e-17,0,3.8000000000000005e-28
VCAN_ITGB1,0.0001083101147256,0.0016781993857617,2.24153518077965e-13,0,1.404527762864129e-10
COL3A1_ITGB1,0.0001097632270379,4.449887175354017e-07,1.6298821426261e-28,0,7.992010478837982e-14
AFDN_NECTIN4,0.0001137472189044,0.0328198575139613,0.0243319307380044,0,8.311154597592606e-18
HSPG2_LRP1,0.000115756152783,0.0002537866060633,8.816890362361201e-10,0,1.9584401909218373e-14
TIMP2_ITGB1,0.0001276181934983,2.960633425015006e-06,1.2710994032737099e-11,0,5.1328716753918516e-09
LAMA5_ITGB4,0.00013385207339,0.0,1.4816887185126102e-20,0,4.1842375470915205e-20
LGALS1_ITGB1,0.0001339048510349,7.659394804850022e-05,1.87857589437519e-17,0,2.820251838894092e-08
SEMA3B_NRP2,0.0001383234051272,0.0001600517469462,2.54707491417876e-26,0,2.7679960016912125e-08
GNAI2_ADRA2A,0.0001389395295187,0.0136062427088442,0.0019513460010082,0,2.3829660742177465e-18
TNFSF10_TNFRSF10B,0.0001389599339734,0.0443965259320053,9.75516198287103e-07,0,6.206712451484601e-13
MFAP2_NOTCH1,0.0001417814039362,0.0250980832175354,1.45269946907772e-14,0,9.636481372247686e-14
C1QA_CSPG4,0.0001501651406361,0.2299910938651676,0.0002644072571605,0,3.5821861859072626e-11
HSP90AA1_LRP1,0.0001592099286279,0.0235272428009177,0.0041568987533562,0,1.0976267969348522e-16
C1QB_LRP1,0.0001592099286279,5.85980359301488e-08,5.795704894813959e-13,0,3.8000000000000005e-28
CGN_F11R,0.0001592099286279,6.393588544753693e-06,4.9977726252802e-07,0,4.1842375470915205e-20
ICAM2_ITGB2,0.0001592099286279,1.2946532177426915e-06,4.7735754170673e-08,0,2.7594223352211762e-15
LAMC2_ITGB4,0.0001651248424178,0.0,6.0520274455322905e-15,0,3.6787786281173286e-21
ADAM10_NOTCH2,0.0001651248424178,0.0051092451529752,0.0203235302591666,0,6.533601050336483e-11
C3_CD46,0.000172304904874,8.587143083919428e-07,1.3102453255579402e-09,0,2.9671745048155028e-21
APP_LRP1,0.000173600313887,0.0050266484562034,2.32748148950465e-13,0,5.042438555053293e-15
CALR_LRP1,0.000173600313887,0.0023455418411689,2.6020630557533197e-11,0,1.1634025065684573e-13
PSEN1_NOTCH1,0.0001847211985041,0.0002428464171076,3.34031195253985e-10,0,1.7784202607412902e-14
PSEN1_NOTCH3,0.0001847211985041,9.984605734795575e-14,4.2811327114776495e-18,0,3.8809104986697473e-19
