,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
SEMA3F_PLXNA3,423,20.157995,3.052018,44.48818897637795,15360.393,9.639613,423,1,4,0.0,0.0,0.0,0.0,1.0,-0.26520901798591484,-0.14513032338847373,0.3081934732734021,0.015370184709636142,-0.15627627608105246
SEMA3F_PLXNA1,268,12.091719,2.5719798,64.82939632545933,9213.89,9.128576,268,1,4,0.0,0.0,0.0,0.0,1.0,-0.05797100158280169,-0.1069030101961749,-0.006333231792589481,0.03613917441907797,-0.010805318060364392
SEMA3F_NRP2,174,7.153894,2.0984957,77.16535433070865,5451.267,8.603786,174,0,-1,0.0,0.0,0.0,0.0,0.0,0.04036141009111712,0.13404291845063476,0.07840288924668062,-0.19455097978581462,0.14931359760593904
DCN_MET,146,4.292025,1.666201,80.83989501312337,3270.523,8.093011,146,1,4,0.0,0.0,0.0,0.0,1.0,0.03413549301272201,0.07376190774071392,-0.13695123902117684,-0.12223835215329042,0.17856216373079847
GRN_TNFRSF1A,695,49.281204,3.9176314,8.79265091863517,37552.277,10.533516,695,0,-1,0.0,0.0,0.0,0.0,0.0,-0.21428096381364187,-0.24108577236177833,0.274026995389382,0.27375709686788635,-0.2544748384188128
GRN_SORT1,224,6.5805235,2.0255823,70.60367454068242,5014.359,8.52026,224,1,4,0.0,0.0,0.0,0.0,1.0,-0.06589961589419595,0.010106382348035384,-0.05737459850301157,-0.02906015157637682,-0.0002545851787073344
GRN_TNFRSF1B,255,9.980889,2.3961563,66.53543307086613,7605.4375,8.93675,255,1,4,0.0,0.0,0.0,0.0,1.0,-0.071286157223459,-0.049827870932362316,0.029934156432713424,0.012043250417160832,0.01492351711856777
ICAM3_ITGB2,185,8.105437,2.2088718,75.7217847769029,6176.3433,8.728643,185,1,4,0.0,0.0,0.0,0.0,1.0,-0.1731863406044485,-0.002134778117681232,0.09748487082744588,0.18467591908526748,-0.06690687042899267
EFNB1_EPHB6,322,14.901255,2.766398,57.742782152230966,11354.756,9.33748,322,1,4,0.0,0.0,0.0,0.0,1.0,-0.11203634715679758,-0.036022190876099744,0.03756836873303337,-0.15960656640436616,0.07588680619790712
EFNB1_EPHB4,369,17.542534,2.9200673,51.574803149606296,13367.41,9.500649,369,0,-1,0.0,0.0,0.0,0.0,0.0,0.00771951277265061,-0.005514694343904153,0.03266625724925728,-0.0643854351402852,0.049730389883859555
EFNB1_ERBB2,572,34.9253,3.5814419,24.934383202099742,26613.078,10.189196,572,1,4,0.0,0.0,0.0,0.0,1.0,-0.18955052906683315,-0.08109489700295687,0.06397043774065522,0.04942016772318536,-0.034785648472299695
EFNB1_EPHB3,221,7.9990034,2.1971138,70.99737532808399,6095.2407,8.715427,221,0,-1,0.0,0.0,0.0,0.0,0.0,0.193226861469267,0.21666800578176346,-0.15371297711169038,-0.12054479484127464,0.11742217821624396
SEMA4G_PLXNB2,685,56.443146,4.0507956,10.104986876640421,43009.676,10.669204,685,0,-1,0.0,0.0,0.0,0.0,0.0,-0.21425316973617048,-0.2286529380934401,0.06880718946237868,0.045181275232943956,-0.1141702973625971
VCL_ITGB5,400,23.428644,3.1957564,47.506561679790025,17852.627,9.789962,400,0,-1,0.0,0.0,0.0,0.0,0.0,-0.0906115578380494,-0.17867931349663327,-0.020704757884192806,0.07630901220117138,0.07492106026047032
EFNA2_EPHA2,330,15.371007,2.795512,56.69291338582677,11712.707,9.368515,330,1,4,0.0,0.0,0.0,0.0,1.0,-0.08453895975207369,-0.07292885112583641,-0.04207701022041634,0.031191210655577336,0.09103987083127646
LGALS1_ITGB1,263,8.980122,2.3005953,65.48556430446195,6842.853,8.831106,263,1,0,1.0,0.0,0.0,0.0,0.0,0.45423255701580995,0.6062039411528347,-0.24979750105658363,-0.2609334022223437,0.07996156541862842
TIMP1_CD63,728,85.50975,4.460257,4.461942257217844,65158.43,11.084592,728,1,1,0.0,1.0,0.0,0.0,0.0,-0.27010732733680104,-0.17477430156219512,0.36250310689402504,0.09561729157723754,-0.3880247001488056
MMP2_PECAM1,300,15.574522,2.8078668,60.629921259842526,11867.786,9.381667,300,1,4,0.0,0.0,0.0,0.0,1.0,-0.09706314499888327,-0.011350657912500601,-0.09605268311865688,0.0668799162752266,-0.06308582183970035
MMP2_FGFR1,368,18.246582,2.9573336,51.70603674540683,13903.8955,9.539996,368,1,4,0.0,0.0,0.0,0.0,1.0,-0.1183483421223817,-0.03201548822692953,-0.01279854639319744,0.08660208295988338,-0.29022880923687866
PLAT_LRP1,478,23.808744,3.2111962,37.27034120734908,18142.264,9.806055,478,1,1,0.0,1.0,0.0,0.0,0.0,0.05279439178788847,0.23609042476965542,-0.18808113086001538,-0.22903175171548257,-0.16231667745843337
PLAT_ITGB2,203,7.0499263,2.0856628,73.35958005249343,5372.044,8.589149,203,1,1,0.0,1.0,0.0,0.0,0.0,-0.048438356716950876,0.23373156027626546,-0.011080496511092353,0.05371215762845509,-0.17938979832280003
TGFB1_ENG,557,32.553513,3.5131416,26.902887139107612,24805.775,10.118872,557,1,4,0.0,0.0,0.0,0.0,1.0,0.34704749629273157,0.03626100525218977,-0.11805183287122602,-0.025814367724476556,-0.027956753894380425
TGFB1_SMAD3,350,15.538374,2.8056834,54.06824146981628,11840.241,9.379344,350,0,-1,0.0,0.0,0.0,0.0,0.0,-0.0891220667336277,-0.06262340024573172,-0.0422265263968683,-0.07922613770287074,0.1988939025658668
TGFB1_ACVRL1,442,23.014647,3.178664,41.99475065616798,17537.16,9.772135,442,0,-1,0.0,0.0,0.0,0.0,0.0,0.16089582076638245,0.017037268786399478,-0.11014422515100887,-0.10141658386964245,-0.10196667633087685
TGFB1_ITGB6,334,13.304021,2.6605406,56.16797900262467,10137.664,9.224112,334,0,-1,0.0,0.0,0.0,0.0,0.0,-0.049376584499403006,0.0250986325508193,-0.013163847269232217,-0.036513008568041155,0.1006111026828843
TGFB1_ITGAV,366,15.63093,2.8112643,51.96850393700787,11910.769,9.3852825,366,1,0,1.0,0.0,0.0,0.0,0.0,0.5862337383285343,0.12459641016842664,-0.3154368361629314,-0.16482316495669724,0.0034030085918920505
TGFB1_ITGB1,280,10.995603,2.4845402,63.254593175853024,8378.649,9.033562,280,1,1,0.0,1.0,0.0,0.0,0.0,0.5058320750514348,0.7424358273045966,-0.24433722567411606,-0.38832689013523786,-0.04330966859993067
TGFB1_CXCR4,162,5.651967,1.8949126,78.74015748031495,4306.799,8.368182,162,1,0,1.0,0.0,0.0,0.0,0.0,0.41082862463442316,0.21968743449635414,-0.19868025699221875,-0.2524656655464018,0.1305242463867214
TGFB1_ITGB5,439,25.538801,3.2786078,42.38845144356955,19460.566,9.876197,439,1,4,0.0,0.0,0.0,0.0,1.0,0.010763225692501372,-0.10232694536070559,-0.10738125380732556,-0.0017060831527285138,0.267903101947629
COMP_ITGB1,279,11.336213,2.5125391,63.38582677165354,8638.194,9.064065,279,1,1,0.0,1.0,0.0,0.0,0.0,0.4404960844159465,0.6765402157100534,-0.27008562038092115,-0.37495753818703664,0.054853250268495794
LAMB1_ITGA7,180,6.9654512,2.0751135,76.37795275590551,5307.674,8.577097,180,1,4,0.0,0.0,0.0,0.0,1.0,0.07810254992767829,0.07484962175208064,-0.023293454590254666,0.03914598470035016,-0.14629628068607883
LAMB1_ITGAV,339,11.987587,2.563994,55.51181102362205,9134.541,9.119927,339,1,4,0.0,0.0,0.0,0.0,1.0,0.5564115572116572,0.2083453023343865,-0.3809965784635252,-0.23155139563993546,0.16918394921609908
