,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
383,0.944285533828023,4,CD99_CD81,3.2370446538154347,0.05219651559353896,-49.3648713964049,18.129879708242324,51.8641142018122,SE,64,0.00010145687899598324,0.02966075398500995,0.0017991065979003906,115.36527512624849,-89.1431433729134,39.7782719765085,2.844924296141471e-10,0.0
488,0.6479202271810952,4,LAMA5_ITGB4,13.323870084366236,0.15850048082084808,-80.89176584754381,-29.795537490780987,34.28089343845247,SE,64,0.00841524864965799,0.18230123721844912,0.0013637542724609375,178.4190640285263,-119.42514015915279,38.53337431160898,5.382533307951576e-10,0.0
485,0.6451160823607327,4,LAMA5_SDC1,13.323870084366236,0.16045730623010976,-80.4457067100134,-25.283438256932413,25.52407850395808,SE,64,0.010538725498351218,0.22699101971345825,0.0011188983917236328,177.52694575346547,-115.06314366452924,34.61743695451584,4.012955079346625e-09,0.0
316,0.8559639840908848,4,LAMA5_ITGA2,3.2370446538154347,0.14886495957271403,-79.8405336165417,22.494740667049882,76.40384971858285,SE,64,0.0010098879500132424,0.06185212067339807,0.001323699951171875,176.3165995665221,-112.23792018108512,32.39738656454341,1.2565535278952211e-08,0.0
487,0.5903599772087478,4,LAMA5_ITGA3,13.323870084366236,0.20239348159633685,-83.91749263573195,-20.138393749223077,16.808308490499634,SE,64,0.009560434056204974,0.18871030216925835,0.0011148452758789062,184.47051760490257,-115.15225315571662,31.234760519984675,2.2863525961369646e-08,0.0
367,0.7830213671168683,4,LAMB2_ITGB4,3.2370446538154347,0.24514341424027725,-57.67714046524125,0.2157954519792252,0.5856091186872916,SE,64,0.0016941878682378395,0.05962847000072516,0.0017104148864746094,131.98981326392118,-84.03898384136616,26.36184337612491,2.8307777888425534e-07,0.0
352,0.7650391393811998,4,COL5A1_ITGB1,3.2370446538154347,0.27169944122018247,-84.82686112985078,19.865627908577242,57.434229424633905,SE,64,0.0011765056178549402,0.03766369906680816,0.0013370513916015625,186.28925459314024,-110.95297726448607,26.126116134635282,3.198287481520623e-07,0.0
322,0.8396369039684668,4,MMP7_CD151,3.2370446538154347,0.16896229074768998,-85.39257618182533,40.30889819597989,240.390437530484,SE,64,0.0012913298975512516,0.06776073717828192,0.0012922286987304688,187.42068469708934,-110.0701952650983,24.677619083272972,6.776658266760549e-07,0.0
360,0.7719006727464263,4,HSPA8_LDLR,3.2370446538154347,0.26142039116187077,-82.64393634585802,12.94583068529316,25.135615962497976,SE,64,0.0012563369580890903,0.04163990190278163,0.0014996528625488281,181.92340502515472,-107.3148443263067,24.670907980448675,6.800297523978927e-07,0.0
455,0.5928794746809474,4,CALM1_KCNQ1,5.18771278254663,0.5091458262038505,-93.99859710652896,16.885932864944,22.569547481662045,SE,64,0.002960879391190199,0.058621031083027506,0.0011091232299804688,204.6327265464966,-118.1530926628379,24.154495556308945,8.890837950303876e-07,0.0
60,0.9958842928966959,4,SEMA3F_NRP2,2.019860877041703,0.003956634228037445,-87.31778588333545,-4.134818774335868,6.802622211639906,SE,64,0.20423025514676038,8880.701140696485,0.002121448516845703,191.27110410010957,-110.38818870216069,23.070402818825244,1.561763681712236e-06,0.0
353,0.8377609154233221,4,CEL_CXCR4,3.2370446538154347,0.17132165743826533,-81.15496112625343,7.042020163684574,8.755242984892286,SE,64,0.001654517637613263,0.0854079619019869,0.0013153553009033203,178.94545458594553,-104.14508586105981,22.990124734806386,1.6283570867248187e-06,0.0
279,0.9999525818876813,4,VEGFA_NRP2,2.019860877041703,4.5399929762484854e-05,-87.65903709680963,2.8563357066850346,4.124947793174842,SE,64,0.007887464325917932,2540448.2832528003,0.001504659652709961,191.95360652705793,-110.42495620482234,22.76591910801271,1.8298206740929857e-06,0.0
89,0.9444954149707112,4,INHBA_ENG,2.019860877041703,0.0562625396624606,-74.71353052132989,15.823686321283072,75.47778164351381,SE,64,0.003581421747982276,1.0540831193099331,0.0020601749420166016,166.06259337609845,-97.42318577019637,22.709655248866483,1.8841874271924297e-06,0.0
327,0.7340755579819953,4,TIMP2_ITGB1,3.2370446538154347,0.3204751562443,-85.60208348244979,13.13152661047732,25.400552646729313,SE,64,0.0016024028446504281,0.04472749387893368,0.0012993812561035156,187.83969929833825,-108.24293281087299,22.6408493284232,1.9528807887470023e-06,0.0
330,0.8262691194274414,4,LAMC2_COL17A1,3.2370446538154347,0.18600832166297046,-88.20430900277545,-3.956898585675678,4.04546293272874,SE,64,0.0014980675853759166,0.07033362629802781,0.0014355182647705078,193.04415033898957,-110.7044295855079,22.50012058273245,2.101304046098207e-06,0.0
274,0.9999525818876814,4,LAMB3_COL17A1,2.019860877041703,4.5399929762484854e-05,-88.63953212680947,15.457872543645037,74.60517962510175,SE,64,0.1324730882749538,42667835.41314299,0.0011343955993652344,193.91459658705762,-111.08032673383832,22.44079460702885,2.167216664017424e-06,0.0
309,0.7750514270108078,4,LAMA4_ITGA6,3.2370446538154347,0.2567613186651134,-79.93923432543495,39.5631679258163,224.81984314517058,SE,64,0.0015093448002564795,0.05085919257926678,0.0013072490692138672,176.51400098430858,-102.0825484529003,22.143314127465345,2.5303565729384303e-06,0.0
321,0.7037894726376831,4,MMP7_SDC1,3.2370446538154347,0.3723356308345557,-89.71386797229738,54.661513338402045,415.49892553468777,SE,64,0.0019519227940713963,0.04891460347011366,0.0013034343719482422,196.06326827803343,-111.76417594902931,22.05030797673193,2.6559706453044285e-06,0.0
234,0.9425560477685755,4,AGT_ADRA2A,2.019860877041703,0.05834819880915079,-100.83076086997454,23.25724636995824,162.99559923779412,SE,64,0.003735362351691511,1.0342862906743089,0.0020439624786376953,218.29705407338776,-122.30320515487415,21.47244428489961,3.5894986194495715e-06,0.0
436,0.6452099514688949,4,FN1_ITGB1,5.18771278254663,0.407714331770959,-80.46598296972226,20.74213993668219,33.694239758984935,SE,64,0.003371509965756256,0.0726319728958175,0.0011322498321533203,177.5674982728832,-101.442575190562,20.976592220839734,4.649292795422255e-06,0.0
84,0.9324956850702756,4,TGFB3_ENG,2.019860877041703,0.06930666946588165,-77.93666690881159,18.877551827571505,106.53988544394973,SE,64,0.003646162854002605,0.7604999008875467,0.002234935760498047,172.50886615106185,-98.89896712490675,20.96230021609516,4.6841067504743705e-06,0.0
401,0.709887982779033,4,COL1A2_ITGA2,3.2370446538154347,0.3615370164012956,-80.89133861437436,31.562400855223018,139.43211278372422,SE,64,0.00221809735387214,0.05670078780475216,0.0013232231140136719,178.4182095621874,-101.7874729250344,20.89613431066003,4.8487211726788715e-06,0.0
278,0.9999525818876814,4,SEMA3B_NRP2,2.019860877041703,4.5399929762484854e-05,-85.44032125457912,13.453783684085577,56.762744038226806,SE,64,0.04496609412764539,14482986.155076977,0.0011012554168701172,187.5161748425969,-106.22599032588163,20.785669071302507,5.136589596888008e-06,0.0
347,0.764021013980205,4,COL6A1_ITGA6,3.2370446538154347,0.27324039350075274,-74.6761160573212,33.989571182772075,165.26227310862325,SE,64,0.0019868448017282916,0.06328766327830139,0.0015208721160888672,165.98776444808107,-95.46100059311951,20.784884535798312,5.1386942439002326e-06,0.0
454,0.5194423349512799,4,CALM1_SCTR,5.18771278254663,0.6859520713095535,-97.76321978174869,15.458386920227287,18.449290444584722,SE,64,0.0036418503594110446,0.0683772624942655,0.001112222671508789,212.16197189693605,-118.52194067168227,20.758720889933585,5.209380503412575e-06,0.0
434,0.6181978300145717,4,FBN1_ITGB1,5.18771278254663,0.45792728508119085,-85.12503085748922,42.25176213482667,135.01192101140987,SE,64,0.004246746481614782,0.08712291543873563,0.001131296157836914,186.88559404841712,-105.8604541043172,20.735423246827978,5.273144700890242e-06,0.0
