"","gene_name","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"SEMA3F_PLXNA3","SEMA3F_PLXNA3",7.00489850375172,7.00489850375172e-08,15.4685314271526,-1486.4067889673,0.267999999999999,2.88465390245857,6.49964947446083,0.917502400238273,0.99999999,-1793.86691658684,614.920255239086,346,0,0
"SEMA3F_PLXNA1","SEMA3F_PLXNA1",5.2632529079776,5.2632529079776e-08,15.6567200097845,-1381.30533455473,0.211,1.74512502991115,5.21561865805224,1.31462101966683,0.99999999,-1710.01242217052,657.414175231593,298,0,0
"SEMA3F_NRP2","SEMA3F_NRP2",4.26004654114866,4.26004654114866e-08,11.5435862967866,-1201.29100250569,0.888,1.11907517703549,3.93964621418063,1.8443694052101,0.99999999,-1603.11647670732,803.650948403254,95,0,0
"DCN_MET","DCN_MET",2.73844090380837,6.11648293938599e-07,15.4842801400421,-1128.88509495101,0.385999999999999,0.653890335024992,2.46632085696626,2.53073556504209,0.999999776643653,-1424.67001470429,591.569839506563,367,0,0
"GRN_TNFRSF1A","GRN_TNFRSF1A",4.17319064049715,0.583082585858516,12.4873688276493,-1380.78460635601,0.385999999999999,4.54081173396318,4.77146227418363,0.449884070879335,0.877407676533906,-1676.10155619955,590.633899687073,368,0,0
"GRN_SORT1","GRN_SORT1",4.20761145026098,4.20761145026098e-08,11.572327826686,-1197.40908431863,0.286000000000001,1.11579104538907,3.57985894833853,1.83837854301441,0.99999999,-1566.62904922815,738.439929819032,171,0,0
"GRN_TNFRSF1B","GRN_TNFRSF1B",5.26472914510776,2.66413405798182e-06,11.0560886883179,-1267.39242265179,0.403,1.41081058808176,4.65746602149068,1.62636981790024,0.999999493965855,-1666.88848610913,798.992126914686,98,0,0
"ICAM3_ITGB2","ICAM3_ITGB2",5.97706597754409,5.97706597754409e-08,11.6620557897933,-1333.74987855279,0.271000000000001,1.39510087094618,5.16104951675355,1.75242086356383,0.99999999,-1706.00515622606,744.510555346528,159,0,0
"EFNB1_EPHB6","EFNB1_EPHB6",6.02726358649251,6.02726358649251e-08,15.811423653044,-1436.03733759886,0.354999999999997,1.98164978011401,5.97815983587971,1.2388912592474,0.99999999,-1762.00181105623,651.928946914736,307,0,0
"EFNB1_EPHB4","EFNB1_EPHB4",6.02366563659837,4.21051041601165e-05,20.9056831985858,-1519.6830932879,0.381999999999998,2.32382621385624,6.18925474290541,1.05615286630938,0.999993010101757,-1775.22322796406,511.080269352316,430,0,0
"EFNB1_ERBB2","EFNB1_ERBB2",5.43546756300016,0.00754200104523198,26.9380048847633,-1549.75320230931,0.352999999999998,3.88692385951374,5.4391547966149,0.599808230510586,0.998614369319677,-1726.00145621168,352.496507804733,488,0,0
"EFNB1_EPHB3","EFNB1_EPHB3",4.03667461333561,4.03667461333561e-08,14.6914297165275,-1260.02157388806,0.194000000000003,1.14751518179841,3.70870169041996,1.7508681061021,0.99999999,-1580.10062514303,640.158102509939,320,0,0
"SEMA4G_PLXNB2","SEMA4G_PLXNB2",3.74831791448597,2.65567999145539e-06,28.9749248636973,-1425.01669849795,0.337,5.13681756793518,3.63731216813081,0.376898203249883,0.999999291501369,-1572.69517646828,295.356955940645,494,0,0
"VCL_ITGB5","VCL_ITGB5",6.86514154374547,6.86514154374547e-08,17.5669551107567,-1518.16876714078,0.227999999999998,2.7043133354349,6.82227498481392,0.968874973853167,0.99999999,-1812.32436377496,588.311193268361,372,0,0
"EFNA2_EPHA2","EFNA2_EPHA2",7.57049841938877,7.57049841938877e-08,9.04960118860873,-1336.85564236989,0.238,2.24805934286054,6.89392213623397,1.22392404030208,0.99999999,-1816.3047400745,958.898195409215,21,0,0
"LGALS1_ITGB1","LGALS1_ITGB1",5.45115557331146,7.56125379397026e-08,12.2012909369418,-1313.78205489267,0.25,1.51701228547121,4.7408910887786,1.53905872209433,0.999999986129081,-1673.65260139372,719.741093002108,200,0,0
"TIMP1_CD63","TIMP1_CD63",2.47669365397215,2.47669365397215e-08,18.1940200128557,-1140.3313390328,0.216000000000001,6.0390633110641,1.999058853679,0.260595290644499,0.99999999,-1344.64057915245,408.618480239303,470,0,0
"MMP2_PECAM1","MMP2_PECAM1",5.94442416735308,5.94442416735308e-08,13.6002776559553,-1382.56046908147,0.282,2.10582833840329,5.95140059337418,1.15779569346385,0.99999999,-1760.29256308279,755.464188002627,147,0,0
"MMP2_FGFR1","MMP2_FGFR1",5.78427207600553,0.349272972421809,16.6872879853653,-1499.87285750381,0.306999999999999,2.32087763328716,6.22311499898537,1.03626806174955,0.943055285375076,-1777.30192684848,554.858138689327,401,0,0
"PLAT_LRP1","PLAT_LRP1",8.05783739064261,8.05783739064261e-08,11.931723183058,-1455.22455782972,0.238,3.30987985203833,7.72270232416932,0.857624186173185,0.99999999,-1859.55744929074,808.665782922038,92,0,0
"PLAT_ITGB2","PLAT_ITGB2",5.61442258309649,5.61442258309649e-08,13.0439045306521,-1347.12904911026,0.254000000000001,1.21728452029472,5.21398863752807,1.94652707814578,0.99999999,-1709.89333085536,725.528563490184,190,0,0
"TGFB1_ENG","TGFB1_ENG",5.95358952558363,0.279892248252572,8.80525086889779,-1322.11633301871,0.268999999999998,3.482073849068,6.04238885012589,0.700731219200116,0.955098569562301,-1766.07342009172,887.914174146018,45,0,0
"TGFB1_SMAD3","TGFB1_SMAD3",5.54001457825503,5.54001457825503e-08,14.0185094780881,-1365.5508125192,0.196000000000002,1.91231502700909,5.31913460429581,1.2308241700745,0.99999999,-1717.50018081975,703.898736601108,219,0,0
"TGFB1_ACVRL1","TGFB1_ACVRL1",7.24584048723879,7.24584048723879e-08,12.675623120662,-1434.87441460369,0.222999999999999,2.71306640765248,6.37887579943868,0.992165132054016,0.99999999,-1786.72073824693,703.692647286487,220,0,0
"TGFB1_ITGB6","TGFB1_ITGB6",5.98454212823696,1.24703345236275e-07,13.5238321053845,-1383.28556731109,0.279,1.81418505889911,5.20760645031141,1.34844699057853,0.999999979162425,-1709.42668182265,652.28222902311,306,0,0
"TGFB1_ITGAV","TGFB1_ITGAV",4.76566601742104,0.393785519250607,15.570261321485,-1429.46255593871,0.306000000000001,2.01510758274602,5.41886832907243,1.0833369706144,0.923676864400855,-1724.57778027406,590.230448670706,369,0,0
"TGFB1_ITGB1","TGFB1_ITGB1",6.93151925040087,0.0799425517447507,6.57716221323156,-1221.04176048511,0.281000000000002,1.49843015461229,4.63712530620187,1.7570240761993,0.988598304604571,-1665.22088726076,888.35825355129,44,0,0
"TGFB1_CXCR4","TGFB1_CXCR4",4.22297088017563,0.0355835878765434,7.86105458832982,-1084.33644116598,0.294000000000004,0.938884832611024,3.50392140094361,2.1887528275459,0.99164420975627,-1558.46015847454,948.247434617126,25,0,0
"TGFB1_ITGB5","TGFB1_ITGB5",6.36318376245095,0.309105681166607,13.5402652166597,-1468.55903399848,0.299999999999997,2.54379006426122,6.73690953278107,0.991644405335407,0.953673220597124,-1807.52692674473,677.935785492507,264,0,0
"COMP_ITGB1","COMP_ITGB1",6.4964437425624,6.4964437425624e-08,8.00659835224442,-1235.53090937173,0.224000000000004,1.58427460451449,4.89382594654872,1.60881971764738,0.99999999,-1685.74908022662,900.436341709793,39,0,0
"LAMB1_ITGA7","LAMB1_ITGA7",2.88147231496966,0.172829029604298,17.9801649486503,-1253.0255788396,0.342999999999996,0.785263631156099,3.00374637385646,2.16168167864947,0.943414545551855,-1499.77760855919,493.504059439176,441,0,0
"LAMB1_ITGAV","LAMB1_ITGAV",5.12570909536334,0.290334526878308,16.4634416272449,-1446.78135070444,0.280000000000001,1.83680412344024,5.3680853920295,1.23257720471758,0.946393613654437,-1720.99040195439,548.418102499904,406,0,0
"LAMB1_ITGB1","LAMB1_ITGB1",4.91221322346359,4.91221322346359e-08,13.0435462680025,-1296.21302854181,0.240000000000002,1.36563038775823,4.34286392759447,1.62295109357699,0.99999999,-1640.24229617194,688.058535260276,246,0,0
"LAMB1_ITGA6","LAMB1_ITGA6",4.10662422032124,8.38182901040671e-07,10.3964739131193,-1151.78186920711,0.312000000000005,1.07794364775132,3.71774114619897,1.87995054454803,0.999999795894953,-1581.0281309297,858.49252344517,60,0,0
"LAMB1_ITGA1","LAMB1_ITGA1",4.99327997781389,0.513763469911898,12.834939503822,-1420.46410014048,0.292999999999999,1.62262908285922,5.20082096212611,1.37712608089784,0.906707932343613,-1708.92991679516,576.931633309353,384,0,0
"LAMB1_ITGA2","LAMB1_ITGA2",4.97082050747388,0.404162703041772,12.2180029204037,-1384.43079538995,0.311,1.78654468735055,5.42914710265058,1.24795853868275,0.924806704093314,-1725.29979508496,681.737999390021,260,0,0
"PDAP1_PDGFRB","PDAP1_PDGFRB",5.85444031904183,0.376119180588759,11.4518574110708,-1410.52779274379,0.302,2.94447068360385,6.18663424622569,0.821741947317141,0.939633161257659,-1775.06188048418,729.068175480777,184,0,0
"SERPINE1_PLAUR","SERPINE1_PLAUR",6.0156871992707,6.0156871992707e-08,17.4892704801717,-1466.4952863471,0.345999999999997,4.07833030198851,5.3209036970927,0.601395572947676,0.99999999,-1717.62687667229,502.263180650381,432,0,0
"SERPINE1_ITGAV","SERPINE1_ITGAV",5.46005416960864,5.46005416960865e-08,15.7404554320275,-1396.96883280239,0.256,2.04301238558271,5.41114843500982,1.14374043779503,0.99999999,-1724.03460842122,654.13155123767,303,0,0
"SERPINE1_LRP1","SERPINE1_LRP1",5.86220170148966,3.31137599128635e-07,16.4998489598685,-1438.75207806536,0.288000000000004,3.28795626666896,5.7659590973573,0.736384004395247,0.999999943513104,-1748.23197749839,618.959798866063,342,0,0
