gene,time,kappa,nu,U_tilde,e_tilde,I_tilde,pval,padj
SEMA3F_PLXNA3,0.9612975120544434,30.038163402370472,16.788721965652602,2994.67539526589,504.30237372123923,30296.63421208377,8.326672684688674e-14,2.1649348980190553e-13
SEMA3F_PLXNA1,0.027687788009643555,15.249713793004839,16.78872196565722,1031.5191312404093,256.0232049266062,7808.561198997141,4.677245746265157e-08,7.676277071943482e-08
SEMA3F_NRP2,0.02403426170349121,7.37606328249092,16.788721965671957,258.2538392698993,123.8346756509417,1826.8248083361668,0.005652220375678696,0.006191123870477331
DCN_MET,0.02488875389099121,7.2411452269968795,16.788721965728122,275.4672620945649,121.56957392950986,1760.6058800154292,0.0021945748997586056,0.0024472234773831856
GRN_TNFRSF1A,0.028926372528076172,23.25233474583478,16.788721965633158,3470.6931326805234,390.37698309965145,18154.352576204365,0.0,0.0
GRN_SORT1,0.02839970588684082,10.08410961907582,16.788721965644562,917.837974151772,169.29931266574582,3414.4656547111445,3.304245765889391e-12,7.592080969066787e-12
GRN_TNFRSF1B,0.026474475860595703,9.358632575356205,16.78872196563844,976.2524915530253,157.11948028622217,2940.846972859352,1.1435297153639112e-14,3.4030342131913986e-14
ICAM3_ITGB2,0.02586817741394043,5.4605192710184225,16.78872196563723,361.20906839045415,91.67513982913238,1001.1877354205718,8.413459362532905e-08,1.3407254597068563e-07
EFNB1_EPHB6,0.025622844696044922,15.499100836605594,16.788721965653018,598.7185460836654,260.21009466339143,8066.044991781182,0.001818173301044279,0.0020413127516269863
EFNB1_EPHB4,0.02633213996887207,14.551069456052968,16.788721965665452,411.89310877632033,244.29385940076014,7109.4738316553985,0.03856851222823432,0.03984511637393994
EFNB1_ERBB2,0.028143644332885742,27.15985020960472,16.788721965663008,930.177020353018,455.9791737981078,24768.65211811185,0.007125875016082084,0.007719697934088924
EFNB1_EPHB3,0.031839847564697266,9.567546118195573,16.78872196568104,363.70987111815225,160.62687167221637,3073.610005090824,0.0022135538843160996,0.0024628279703877323
SEMA4G_PLXNB2,0.10139298439025879,42.285218087812254,16.788721965643614,3823.224942897661,709.9147697328843,60037.801723828066,4.258149388647325e-12,9.56148089996263e-12
VCL_ITGB5,0.029245376586914062,18.00135695377162,16.788721965641887,1899.119633771246,302.2197769011459,10880.7321649735,6.8833827526759706e-15,2.11204414895772e-14
EFNA2_EPHA2,0.024326324462890625,19.91621035338642,16.788721965647632,1186.710108011573,334.36771823235733,13318.675623394935,1.0652215748363503e-06,1.5568623016838965e-06
LGALS1_ITGB1,0.026124954223632812,10.964505508499474,16.788721965644935,1309.7469931687174,184.08003447298,4036.6931039675246,0.0,0.0
TIMP1_CD63,0.026983022689819336,24.836555814406665,16.788721965632615,4403.195351209275,416.97403015198967,20712.39754605596,0.0,0.0
MMP2_PECAM1,0.02513599395751953,8.812158606060885,16.78872196564103,1186.7814647173668,147.94488075428703,2607.4275083230837,0.0,0.0
MMP2_FGFR1,0.027587413787841797,9.616777695196669,16.788721965640804,1393.8650710168122,161.45340693003286,3105.3230451565023,0.0,0.0
PLAT_LRP1,0.02380061149597168,30.113160080625647,16.788721965645685,2161.6940515163506,505.56147210060453,30448.10707992452,9.009715529195716e-09,1.5839144026415245e-08
PLAT_ITGB2,0.02550363540649414,6.724013842735762,16.788721965635364,456.2233420972026,112.88759889877414,1518.1155553371195,4.3086863299457434e-08,7.094970156643991e-08
TGFB1_ENG,0.02503490447998047,19.25043667395911,16.78872196565014,2280.4179154439817,323.1902290364543,12443.106075417209,0.0,0.0
TGFB1_SMAD3,0.02666640281677246,12.536625037539093,16.78872196566074,1293.919232422103,210.47391214298497,5277.265033441097,1.84297022087776e-14,5.2323407420322606e-14
TGFB1_ACVRL1,0.026662111282348633,15.08946023465311,16.788721965655384,1405.3077137948653,253.33275249140414,7645.308989708523,1.3553602684623911e-12,3.188323679144863e-12
TGFB1_ITGB6,0.026563167572021484,10.717025112310191,16.788721965666582,818.615722317285,179.92515490964246,3856.5248070058788,1.4100964840224606e-09,2.6187506131845696e-09
TGFB1_ITGAV,0.027991533279418945,13.729555050449827,16.788721965659516,1505.3711731383446,230.50168245421855,6329.371076952997,1.1102230246251565e-15,3.680873652112935e-15
TGFB1_ITGB1,0.025902986526489258,11.452716585722582,16.78872196565799,1084.7195242904504,192.27647450917632,4404.175937311018,6.942224572981104e-13,1.6729067995378855e-12
TGFB1_CXCR4,0.026767730712890625,6.633285048086795,16.788721965653775,510.56453949983745,111.36437839125753,1477.4233321444174,1.1114682507695761e-09,2.0877008208371507e-09
TGFB1_ITGB5,0.025065183639526367,15.310341047263893,16.78872196565025,1341.4021030964104,257.041059041796,7870.772554159583,1.3770762308240592e-11,2.93222266390985e-11
COMP_ITGB1,0.02353978157043457,12.81576641753337,16.788721965677833,550.4894064879072,215.16033916103876,5514.889298010261,0.00043608027439889785,0.0005080746593232442
LAMB1_ITGA7,0.025714874267578125,8.51017390459923,16.788721965633005,458.2940533525873,142.8749435635019,2431.781232670403,9.14728431056222e-06,1.2128087304920302e-05
LAMB1_ITGAV,0.022891521453857422,17.716255955003373,16.788721965639603,1357.8018577504677,297.4332955006585,10538.808785259638,1.2703051943674382e-09,2.37701047733907e-09
LAMB1_ITGB1,0.027467966079711914,13.183525838032956,16.78872196564705,974.6098033116444,221.33454982165932,5835.939512846477,3.812703819328078e-09,6.849002497265711e-09
LAMB1_ITGA6,0.023072242736816406,8.006644956544244,16.78872196566139,210.5218501190084,134.42133605318637,2152.5278247243673,0.06483388605266394,0.06603698909281645
LAMB1_ITGA1,0.026871681213378906,12.998946490879286,16.78872196563745,420.2946762107012,218.2356984815709,5673.668333923211,0.012564689537627682,0.013291127690766756
LAMB1_ITGA2,0.026592016220092773,14.617480704320178,16.78872196564514,727.9497090793457,245.4088193830142,7174.517364002411,3.99938381256959e-05,5.0144558462166946e-05
PDAP1_PDGFRB,0.023449420928955078,17.458322221724288,16.788721965647753,2704.9319655252366,293.10291776721886,10234.170365015327,0.0,0.0
SERPINE1_PLAUR,0.022697925567626953,48.114645232014425,16.78872196564388,4671.014576722382,807.7834012758832,77732.42355339814,2.539080057317733e-13,6.399518103647755e-13
SERPINE1_ITGAV,0.023989200592041016,15.528086144980119,16.788721965645223,1309.8682992974468,260.69672094665896,8096.242281147126,5.347899900698394e-11,1.1241968301893647e-10
SERPINE1_LRP1,0.02198481559753418,34.47373567203788,16.788721965648687,2764.0463022076974,578.7699633151092,39904.72546048027,2.996028980462029e-10,5.84995381955827e-10
SERPINE1_ITGB5,0.0228884220123291,21.800893021365653,16.788721965641873,895.8302818424213,366.0091315384102,15958.651843023661,0.0008135781863094493,0.0009368476084775478
COL1A1_ITGA5,0.021990299224853516,31.24848497864581,16.788721965642626,2886.3546440270734,524.6221261540445,32787.29325717977,1.871169885703239e-12,4.339708561208451e-12
COL1A1_CD93,0.022937536239624023,24.777899676272455,16.788721965643518,1444.0887755232425,415.9892685575468,20614.680725449707,1.7474489546476235e-06,2.494912669352387e-06
COL1A1_ITGA1,0.0787353515625,12.163292943069074,16.788721965643973,552.6108968902133,204.20614340786605,4967.638286088497,0.00018668802217181035,0.00022603892880606447
