,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
C3_CD81,0.9461236735660757,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012251845443225376,0.0,0.0,0.000999000999000999
HMGB1_SDC1,0.9324614041861878,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012069271799904553,0.0,0.0,0.000999000999000999
AGTRAP_RACK1,0.9221039977313055,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011162066452826188,0.0,0.0,0.000999000999000999
C3_LRP1,0.9209581067801755,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011362097819551632,0.0,0.0,0.000999000999000999
TIMP1_CD63,0.9192652042798856,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011787508288477538,0.0,0.0,0.000999000999000999
ICAM1_MUC1,0.9134264412774699,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011283443777074065,0.0,0.0,0.000999000999000999
THBS1_SDC4,0.9088003705350971,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011444613930061513,0.0,0.0,0.000999000999000999
VIM_CD44,0.9086859214952157,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001167280817758142,0.0,0.0,0.000999000999000999
APP_CD74,0.9064492654248505,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012401311190086523,0.0,0.0,0.000999000999000999
TIMP2_ITGA3,0.9041844738936606,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011836519461985646,0.0,0.0,0.000999000999000999
HSP90AA1_CFTR,0.9032004469456355,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012810590626904015,0.0,0.0,0.000999000999000999
VCAM1_EZR,0.9026081553226394,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001181125411921764,0.0,0.0,0.000999000999000999
PSAP_LRP1,0.9024649312936046,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012292117542061726,0.0,0.0,0.000999000999000999
ACTR2_LDLR,0.9022078646353145,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001087353283063644,0.0,0.0,0.000999000999000999
THBS1_SDC1,0.8953943718279943,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011353017947976984,0.0,0.0,0.000999000999000999
LAMC3_ITGA3,0.8936887761358898,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011136020168601676,0.0,0.0,0.000999000999000999
LAMC3_ITGB4,0.8932970965983578,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011192404195212026,0.0,0.0,0.000999000999000999
THBS1_ITGA3,0.8916222361719314,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011459580566638848,0.0,0.0,0.000999000999000999
TIMP3_CD44,0.8886620589277392,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012044055201929514,0.0,0.0,0.000999000999000999
TGFB1_ENG,0.8880801113634613,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011001891654572834,0.0,0.0,0.000999000999000999
LTF_LRP1,0.882258139758099,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.00108157799474991,0.0,0.0,0.000999000999000999
MDK_SDC1,0.8821942437844227,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011900309509596462,0.0,0.0,0.000999000999000999
COL1A2_ITGA11,0.8796240061298528,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010896732766756208,0.0,0.0,0.000999000999000999
LAMC2_CD151,0.8793436584520277,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011376980627487614,0.0,0.0,0.000999000999000999
MDK_SDC4,0.8785862137041376,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011786392314953827,0.0,0.0,0.000999000999000999
LAMC2_ITGB4,0.8776121792831851,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011480672694734915,0.0,0.0,0.000999000999000999
MMP1_CD44,0.8772424213078904,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011387403737489166,0.0,0.0,0.000999000999000999
SPP1_CD44,0.8759443534104613,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011557342083788238,0.0,0.0,0.000999000999000999
FGF19_FGFR3,0.8734926335725246,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011651026070324927,0.0,0.0,0.000999000999000999
HSP90AA1_FGFR3,0.8731959601046436,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011802965517708826,0.0,0.0,0.000999000999000999
CALM1_SCTR,0.8730553608980163,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001095377871685592,0.0,0.0,0.000999000999000999
CALM2_AQP1,0.8702521162966117,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011395193114336374,0.0,0.0,0.000999000999000999
SERPINA1_LRP1,0.8681250294108006,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011279214820226913,0.0,0.0,0.000999000999000999
SPINT1_ST14,0.8629330145326078,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011772801953768895,0.0,0.0,0.000999000999000999
VCAN_CD44,0.8620459239739294,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001164931626047837,0.0,0.0,0.000999000999000999
THBS1_LRP1,0.8614495923313079,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010952966125235485,0.0,0.0,0.000999000999000999
CALM1_AQP1,0.8580344696854212,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010920471659010029,0.0,0.0,0.000999000999000999
LRPAP1_LRP1,0.8565254524104846,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011432513052172537,0.0,0.0,0.000999000999000999
MDK_TSPAN1,0.8559418062296428,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010684912355806639,0.0,0.0,0.000999000999000999
AGRN_LRP1,0.8534793868691439,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011584687766063003,0.0,0.0,0.000999000999000999
HSP90AA1_LRP1,0.8531899686857308,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001075108871229701,0.0,0.0,0.000999000999000999
VCL_ITGB5,0.8515273498142009,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010293388355527575,0.0,0.0,0.000999000999000999
LAMC3_ITGA2,0.8512287413274956,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010753347299622888,0.0,0.0,0.000999000999000999
GRN_TNFRSF1A,0.8506595941334757,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010158342331368217,0.0,0.0,0.000999000999000999
APOE_LSR,0.8493255431690054,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010465369109041727,0.0,0.0,0.000999000999000999
CD160_TNFRSF14,0.8492708772784283,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001022415081457236,0.0,0.0,0.000999000999000999
CD99_CD81,0.8481334405067203,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010494445922616974,0.0,0.0,0.000999000999000999
MMP2_PECAM1,0.8480264357460948,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010426717380216401,0.0,0.0,0.000999000999000999
GPC3_CD81,0.8476093285596608,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010892303160489,0.0,0.0,0.000999000999000999
PDAP1_PDGFRB,0.847483656518112,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011359133461623615,0.0,0.0,0.000999000999000999
CD55_ADGRE5,0.8463021441052431,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011800471983497763,0.0,0.0,0.000999000999000999
LAMC2_ITGA3,0.846283452191407,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010538973154411778,0.0,0.0,0.000999000999000999
MST1_MST1R,0.8452144235915887,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001127533248428782,0.0,0.0,0.000999000999000999
VWF_LRP1,0.8445335876320008,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011072556634394608,0.0,0.0,0.000999000999000999
C1QB_LRP1,0.8442515227484367,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001082289645379737,0.0,0.0,0.000999000999000999
LRPAP1_LDLR,0.8425124042179941,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010233811286801061,0.0,0.0,0.000999000999000999
MMP7_SDC1,0.8392288101970581,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010490092843890109,0.0,0.0,0.000999000999000999
APOE_LDLR,0.8388311952115017,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010421659550417586,0.0,0.0,0.000999000999000999
COL1A2_ITGA2,0.8361970230028779,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010442557659939883,0.0,0.0,0.000999000999000999
TGFB1_ITGB1,0.8326219030270402,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001072271422097375,0.0,0.0,0.000999000999000999
TGFB1_CXCR4,0.8325877914400451,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009607985174470218,0.0,0.0,0.000999000999000999
FGF19_FGFR4,0.8311255280312269,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001163888399955375,0.0,0.0,0.000999000999000999
CD14_ITGB1,0.8281236339555248,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001116212642462923,0.0,0.0,0.000999000999000999
LAMA5_ITGB4,0.8271959481583104,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009890997251441672,0.0,0.0,0.000999000999000999
FGF23_FGFR3,0.8245628239324204,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009950677612893762,0.0,0.0,0.000999000999000999
CALM2_INSR,0.8238844113301239,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010178218449857423,0.0,0.0,0.000999000999000999
COL6A3_ITGB1,0.8226117782624849,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010308772971569756,0.0,0.0,0.000999000999000999
HSP90AA1_ERBB2,0.8224555772908653,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011074613298822484,0.0,0.0,0.000999000999000999
APP_TNFRSF21,0.8210944456576263,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010637950450043678,0.0,0.0,0.000999000999000999
C3_ADRA2A,0.8204952948195269,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011032644314851138,0.0,0.0,0.000999000999000999
SPP1_ITGAV,0.8176088636540579,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009946764636443168,0.0,0.0,0.000999000999000999
THBS1_LRP5,0.817589503021685,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010579666408356057,0.0,0.0,0.000999000999000999
C3_CD46,0.8172143343858601,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001081670215514667,0.0,0.0,0.000999000999000999
GNAI2_ADRA2A,0.8171232286072704,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010063027884870135,0.0,0.0,0.000999000999000999
LGALS9_CD44,0.8156508926314561,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009995727656047218,0.0,0.0,0.000999000999000999
LAMC2_ITGA2,0.8154889524269696,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001013243890425609,0.0,0.0,0.000999000999000999
LAMA5_SDC1,0.8150912623377927,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010765595845273904,0.0,0.0,0.000999000999000999
HLA-A_ERBB2,0.8146599257214784,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010940344433806937,0.0,0.0,0.000999000999000999
ANXA1_ADRA2A,0.8139923461877369,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.000995529146242988,0.0,0.0,0.000999000999000999
ADAM10_GPNMB,0.8135450880571493,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010252769137195767,0.0,0.0,0.000999000999000999
TNFSF12_TNFRSF12A,0.8130174560153035,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011309766774927437,0.0,0.0,0.000999000999000999
SEMA4D_PLXNB2,0.812811953712773,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009767927454261776,0.0,0.0,0.000999000999000999
