,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
CD74,0.6469360444941018,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0015452826613271437,0.0,0.0,0.0020156994126625362
RACK1,0.6111554214365502,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.001385889877561304,0.0,0.0,0.0020156994126625362
MUC6,0.5772442444440062,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0012393800457742832,0.0,0.0,0.0020156994126625362
CD63,0.5225471804793499,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0013606193335143786,0.0,0.0,0.0020156994126625362
CD81,0.515775912666609,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0014180909420518561,0.0,0.0,0.0020156994126625362
CFTR,0.499768276323637,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0013141981319986658,0.0,0.0,0.0020156994126625362
AQP1,0.49112299253926467,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0012572778572659117,0.0,0.0,0.0020156994126625362
PTPRF,0.4520097806081272,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0011705324041031543,0.0,0.0,0.0020156994126625362
PIGR,0.44014437594979117,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0011082356835525509,0.0,0.0,0.0020156994126625362
LAMP1,0.41985119605367216,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.001096024170372172,0.0,0.0,0.0020156994126625362
SCTR,0.4143972570202394,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0011807578364939227,0.0,0.0,0.0020156994126625362
THY1,0.401718125138399,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0011780037417278464,0.0,0.0,0.0020156994126625362
ITGB4,0.3795681504538822,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.000997034210990952,0.0,0.0,0.0020156994126625362
MUC1,0.3570124700851954,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.000930215769433421,0.0,0.0,0.0020156994126625362
CD68,0.35512251732484423,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.001077617671515394,0.0,0.0,0.0020156994126625362
PDGFRB,0.3506435547725853,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0010669797322594128,0.0,0.0,0.0020156994126625362
ENG,0.33977362247140985,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0010547306465324732,0.0,0.0,0.0020156994126625362
LRP1,0.32635404241267946,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.001082467979118937,0.0,0.0,0.0020156994126625362
SDC4,0.3254172478975099,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0009087370381661115,0.0,0.0,0.0020156994126625362
EZR,0.3162405675579285,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0010220554170672091,0.0,0.0,0.0020156994126625362
TRPV6,0.31539797230773337,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008292914961273362,0.0,0.0,0.0020156994126625362
FGFR1,0.3133956169573456,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0010210483028366233,0.0,0.0,0.0020156994126625362
IL6ST,0.3070314478148532,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008742787191911892,0.0,0.0,0.0020156994126625362
ANTXR1,0.30599754264690937,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008481868429987921,0.0,0.0,0.0020156994126625362
ATP6AP2,0.30216408358657204,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0009571621467251448,0.0,0.0,0.0020156994126625362
TMEM219,0.3019996586320603,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0009823618152315224,0.0,0.0,0.0020156994126625362
NOTCH3,0.29881146784858403,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0009575955605739191,0.0,0.0,0.0020156994126625362
PLXNB2,0.2893979123452016,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0010137683962459785,0.0,0.0,0.0020156994126625362
APLP2,0.2891258963763338,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.000836467204981985,0.0,0.0,0.0020156994126625362
CSF1R,0.28676158598877716,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0009542053057116892,0.0,0.0,0.0020156994126625362
ITGA11,0.28413592829162215,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008469193331359456,0.0,0.0,0.0020156994126625362
CD151,0.27893462769431365,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008746544674438456,0.0,0.0,0.0020156994126625362
GPNMB,0.27687679980998203,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.000921578054295313,0.0,0.0,0.0020156994126625362
FGFR3,0.27650371087589887,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008681186983506105,0.0,0.0,0.0020156994126625362
INSR,0.2706860866060151,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0007628443085873286,0.0,0.0,0.0020156994126625362
CD4,0.26978380044991934,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0009152585103564952,0.0,0.0,0.0020156994126625362
TNFRSF12A,0.26890977423845186,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008856976135578078,0.0,0.0,0.0020156994126625362
PECAM1,0.2676041324078439,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008674662257223819,0.0,0.0,0.0020156994126625362
CD93,0.2549698513398751,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008922832633820131,0.0,0.0,0.0020156994126625362
ADGRG1,0.25386595132302475,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008606856539501652,0.0,0.0,0.0020156994126625362
NECTIN2,0.2482435057858575,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0007763754434146065,0.0,0.0,0.0020156994126625362
RAMP1,0.24456348463276792,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.000830545110673689,0.0,0.0,0.0020156994126625362
MST1R,0.24265697048954787,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0008166526420693259,0.0,0.0,0.0020156994126625362
ITGAV,0.24034463030261946,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0007862505848747707,0.0,0.0,0.0020156994126625362
SDC1,0.2384651070443122,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0007281820648424557,0.0,0.0,0.0020156994126625362
TNFRSF1A,0.23720295541256137,0.0,0.0007408977855645652,0.0,0.000999000999000999,0.0007897823141900505,0.0,0.0,0.0020156994126625362
GPC1,0.23350604690033125,0.0,0.0007408977855645652,3.3306690738754696e-16,0.000999000999000999,0.0008304095662970357,0.0,1.8948485322425074e-15,0.0020156994126625362
TNFRSF21,0.22579425019662808,0.0,0.0007408977855645652,5.551115123125783e-16,0.000999000999000999,0.0007825411816658857,0.0,3.094982367848651e-15,0.0020156994126625362
PTPRA,0.22441906840641757,0.0,0.0007408977855645652,1.1102230246251565e-16,0.000999000999000999,0.0007521802423081501,0.0,6.55677746077566e-16,0.0020156994126625362
CD44,0.22034827580159586,1.1102230246251565e-16,0.0007408977855645652,9.992007221626409e-16,0.000999000999000999,0.0007766669014641419,6.062773679484343e-16,5.467195323911469e-15,0.0020156994126625362
ITGA3,0.2189190803205766,2.220446049250313e-16,0.0007408977855645652,5.551115123125783e-16,0.000999000999000999,0.0007411526922644991,1.1984825339328819e-15,3.094982367848651e-15,0.0020156994126625362
GJB2,0.217919774552978,3.3306690738754696e-16,0.0007408977855645652,4.773959005888173e-15,0.000999000999000999,0.0007861499465551406,1.7737084066124996e-15,2.4830815668091234e-14,0.0020156994126625362
IL20RA,0.2175646087746653,3.3306690738754696e-16,0.0007408977855645652,2.2870594307278225e-14,0.000999000999000999,0.0008254843995776467,1.7737084066124996e-15,1.1147666971958059e-13,0.0020156994126625362
NOTCH2,0.2148349936777963,7.771561172376096e-16,0.0007408977855645652,4.374278717023117e-14,0.000999000999000999,0.0008249863947191895,4.0123110918622566e-15,2.0618960742994944e-13,0.0020156994126625362
TYROBP,0.2143464632940847,8.881784197001252e-16,0.0007408977855645652,5.417888360170764e-14,0.000999000999000999,0.0008276408765777446,4.555996103259558e-15,2.5281969011800195e-13,0.0020156994126625362
CD47,0.2132368514915032,1.2212453270876722e-15,0.0007408977855645652,4.3298697960381105e-15,0.000999000999000999,0.0007544861375303576,6.2187684037192506e-15,2.258411526326046e-14,0.0020156994126625362
SIGIRR,0.21239739022355292,1.5543122344752192e-15,0.0007408977855645652,8.593126210598712e-14,0.000999000999000999,0.0008376595269095619,7.843233798016455e-15,3.9374579130830385e-13,0.0020156994126625362
CANX,0.2087483242409191,4.440892098500626e-15,0.0007408977855645652,9.592326932761353e-14,0.000999000999000999,0.0008033539016781756,2.1683830972643913e-14,4.3773325111807935e-13,0.0020156994126625362
ADRA2A,0.20184190585129516,3.1530333899354446e-14,0.0007408977855645652,2.0872192862952943e-14,0.000999000999000999,0.0007167862052769897,1.4353245798719182e-13,1.0236178239731141e-13,0.0020156994126625362
EPHB6,0.200886570874481,4.118927421359331e-14,0.0007408977855645652,2.5268676040468563e-13,0.000999000999000999,0.0007631700725699908,1.8493752162997927e-13,1.0957613129903268e-12,0.0020156994126625362
RHBDF2,0.19798208442215728,9.225953334635051e-14,0.0007408977855645652,2.220446049250313e-16,0.000999000999000999,0.0005917083611410169,4.060729145157588e-13,1.2801972521555783e-15,0.0020156994126625362
LSR,0.19509137400229729,2.0328183580886616e-13,0.0007408977855645652,9.512279852685879e-12,0.000999000999000999,0.0008479817564744167,8.685046221264922e-13,3.5041606506825005e-11,0.0020156994126625362
PLAUR,0.1924833923695801,4.105604745063829e-13,0.0007408977855645652,1.5554224574998443e-13,0.000999000999000999,0.0006957366075548613,1.7202237298949871e-12,6.911475107728209e-13,0.0020156994126625362
PLXND1,0.19024219707575185,7.459588502456427e-13,0.0007408977855645652,5.248024237403115e-13,0.000999000999000999,0.0007043717300107524,3.049960691004346e-12,2.2105074165242855e-12,0.0020156994126625362
AQP5,0.18590130183915224,2.3266943927069406e-12,0.0007408977855645652,1.40121247937941e-12,0.000999000999000999,0.0007140278502009522,9.19637493321348e-12,5.642256022667018e-12,0.0020156994126625362
LRP5,0.18483414538101692,3.0657698601999073e-12,0.0007408977855645652,6.186273715513835e-12,0.000999000999000999,0.0007408546225391905,1.2007060764754865e-11,2.323391225187262e-11,0.0020156994126625362
SMAD3,0.18277737921494044,5.19484455452357e-12,0.0007408977855645652,1.0103029524088925e-13,0.000999000999000999,0.0006244001841684495,2.0022394653864672e-11,4.599103407336075e-13,0.0020156994126625362
LDLR,0.18164566714178113,6.927347584451127e-12,0.0007408977855645652,1.891120593455753e-11,0.000999000999000999,0.000759570989520857,2.6571496129774395e-11,6.774290136121026e-11,0.0020156994126625362
KCNQ1,0.1812602388470758,7.637668275606302e-12,0.0007408977855645652,1.5054624213917123e-13,0.000999000999000999,0.0006241598614035491,2.919577167545121e-11,6.710851257018487e-13,0.0020156994126625362
TFRC,0.1809044632492729,8.35653768405109e-12,0.0007408977855645652,2.4130697440227777e-12,0.000999000999000999,0.0006851393013564998,3.1726419601829346e-11,9.472757941526344e-12,0.0020156994126625362
ST14,0.17969860375017643,1.1320833159800259e-11,0.0007408977855645652,2.9560831560360157e-10,0.000999000999000999,0.0008388668675343528,4.248928706445544e-11,9.289358160944258e-10,0.0020156994126625362
CD9,0.17725589470872502,2.0816570689419223e-11,0.0007408977855645652,4.379052676029005e-12,0.000999000999000999,0.0006680571701747432,7.623181169137052e-11,1.6739378756793066e-11,0.0020156994126625362
SLC1A5,0.17671124610597064,2.3819057837215496e-11,0.0007408977855645652,2.2687407508215074e-12,0.000999000999000999,0.000640082668244035,8.665851485625795e-11,8.935668405317454e-12,0.0020156994126625362
SIRPA,0.17599988406562134,2.8385405137498765e-11,0.0007408977855645652,1.083215739328125e-10,0.000999000999000999,0.0007674267455616791,1.0213987496607389e-10,3.5624201774839515e-10,0.0020156994126625362
MGRN1,0.17321882631333557,5.598788099803187e-11,0.0007408977855645652,1.5883849791009652e-11,0.000999000999000999,0.0006841234016901038,1.9578218286341847e-10,5.7340081296005736e-11,0.0020156994126625362
LRP10,0.17166376825903645,8.149114716360373e-11,0.0007408977855645652,6.939582242182496e-11,0.000999000999000999,0.0007025484751464845,2.795341686048386e-10,2.3247183969760208e-10,0.0020156994126625362
KCNJ15,0.16857679807828443,1.7006229757754454e-10,0.0007408977855645652,9.196088335272634e-12,0.001998001998001998,0.0006317021349876912,5.659616474539511e-10,3.3921592200367855e-11,0.003644068349950703
ERBB3,0.16824010962646588,1.841299335225699e-10,0.0007408977855645652,1.256225123924537e-10,0.000999000999000999,0.0007108290362290375,6.109566938106198e-10,4.107201181384207e-10,0.0020156994126625362
MUC5AC,0.16612631288222907,3.0223257230233003e-10,0.0007408977855645652,2.721434189112415e-11,0.000999000999000999,0.0006505298214827135,9.881429326416543e-10,9.53441569958342e-11,0.0020156994126625362
ITGA6,0.16364971849976412,5.36093058833842e-10,0.0007408977855645652,1.8814505509112678e-11,0.000999000999000999,0.0006146865025921065,1.7155592668300872e-09,6.743979142347968e-11,0.0020156994126625362
PTK7,0.16254673829276806,6.901761384625615e-10,0.0007408977855645652,1.3702251555613998e-09,0.000999000999000999,0.0007460702093180147,2.1811285553564873e-09,4.029097256685023e-09,0.0020156994126625362
AXL,0.16172745483135995,8.317792010714697e-10,0.0007408977855645652,2.4922730545995364e-10,0.000999000999000999,0.0006766616041406026,2.6138286718355137e-09,7.889606306137274e-10,0.0020156994126625362
MAGED1,0.16087683413296094,1.0086717017188107e-09,0.0007408977855645652,1.4875465303987312e-09,0.001998001998001998,0.0007280553033412548,3.1484321964724175e-09,4.3625839128509296e-09,0.003644068349950703
BEX3,0.16056368705349447,1.0826154417387102e-09,0.0007408977855645652,7.233080800972402e-11,0.000999000999000999,0.0006263327769228798,3.3698141552391197e-09,2.414343537693001e-10,0.0020156994126625362
IFNGR2,0.15971043820772224,1.3119159092411792e-09,0.0007408977855645652,1.6040080375034904e-10,0.000999000999000999,0.0006611986727766278,4.042961175855893e-09,5.180537533163761e-10,0.0020156994126625362
FGFR4,0.15929166739324466,1.4411249971146844e-09,0.0007408977855645652,1.4433819917059054e-08,0.000999000999000999,0.0008102445695441641,4.416759258043412e-09,3.7944017407963534e-08,0.0020156994126625362
IL10RB,0.15509256716973632,3.6494313127022338e-09,0.0007408977855645652,2.7684243786296747e-10,0.000999000999000999,0.0006189834503136345,1.0845301467620429e-08,8.724210308939703e-10,0.0020156994126625362
DDR1,0.15431702847734668,4.3216582534810755e-09,0.0007408977855645652,4.3939658023184336e-08,0.000999000999000999,0.0008427912142332667,1.274797817794814e-08,1.0933001846963521e-07,0.0020156994126625362
MRC2,0.15232364154793523,6.649689687776572e-09,0.0007408977855645652,3.1324291271950244e-08,0.002997002997002997,0.0007715653486236449,1.9359373055545672e-08,7.9608774858267e-08,0.00515924544302089
TSPAN14,0.1503895859641554,1.0051117604881199e-08,0.0007408977855645652,2.85002965672021e-09,0.000999000999000999,0.0006622826944111945,2.8693241612706892e-08,8.090547057047555e-09,0.0020156994126625362
TRADD,0.15008965162936275,1.0711411091435252e-08,0.0007408977855645652,3.865347930620544e-09,0.000999000999000999,0.0006717894462440863,3.0500196582295994e-08,1.0829571687145209e-08,0.0020156994126625362
TSPAN1,0.14846355728335314,1.5092542215988658e-08,0.0007408977855645652,1.101681978976643e-08,0.000999000999000999,0.0007000929460485449,4.2179007565063947e-08,2.9348387229921932e-08,0.0020156994126625362
LTBR,0.14828247079755522,1.5676632880712305e-08,0.0007408977855645652,1.3893707073719952e-08,0.000999000999000999,0.0006954746451744461,4.3701942111516174e-08,3.6627670844795016e-08,0.0020156994126625362
SDC3,0.1469123304112708,2.086493489095176e-08,0.0007408977855645652,1.4871732845200825e-08,0.000999000999000999,0.0006923083482968562,5.739142514854695e-08,3.898503570176881e-08,0.0020156994126625362
PDGFRA,0.1452002716671106,2.9720987448911274e-08,0.0007408977855645652,1.350612011119523e-08,0.000999000999000999,0.0006759609739038682,8.05990432227278e-08,3.56732874304688e-08,0.0020156994126625362
RYK,0.14456264518002326,3.387345282046539e-08,0.0007408977855645652,2.4302802770215237e-08,0.000999000999000999,0.000692600792099279,9.141573510203934e-08,6.224595789838055e-08,0.0020156994126625362
BOC,0.1438470830607505,3.920325697404081e-08,0.0007408977855645652,2.1584989129408427e-08,0.000999000999000999,0.000686935107311087,1.0504733298381843e-07,5.5565417126950385e-08,0.0020156994126625362
NCSTN,0.14342170210227856,4.27475032038771e-08,0.0007408977855645652,2.191418668751055e-08,0.000999000999000999,0.0006789713216007286,1.1409555972302157e-07,5.638684919455804e-08,0.0020156994126625362
SLC40A1,0.14247521312255262,5.1781830046060406e-08,0.0007408977855645652,1.637408497678905e-08,0.000999000999000999,0.0006763401230741285,1.3709411455743033e-07,4.2762643076958203e-08,0.0020156994126625362
PLXNB1,0.14034485346818157,7.93834400436566e-08,0.0007408977855645652,4.7109334744277476e-07,0.000999000999000999,0.0008134179155585814,2.0673774096297131e-07,1.0470617172752394e-06,0.0020156994126625362
