,cluster,pvals_adj,logfoldchanges,names,g,membership
0,1,0.0,14.4417925,ADCYAP1_ADCYAP1R1,ADCYAP1_ADCYAP1R1,1
1,1,0.0,15.256416,VIP_RAMP1,VIP_RAMP1,1
2,1,0.0,16.807117,SAA1_GRM7,SAA1_GRM7,1
3,1,0.0,16.731903,MFGE8_ITGAV,MFGE8_ITGAV,1
4,1,0.0,8.43021,VIP_ADCYAP1R1,VIP_ADCYAP1R1,1
5,1,0.0,26.583256,CALM1_ADCYAP1R1,CALM1_ADCYAP1R1,1
6,1,0.0,6.3794045,VIP_RAMP2,VIP_RAMP2,1
7,1,0.0,11.951257,NGF_BEX3,NGF_BEX3,1
9,1,0.0,15.879083,FGF12_FGFR3,FGF12_FGFR3,1
10,1,0.0,31.662369,CALM1_GRM7,CALM1_GRM7,1
11,1,0.0,13.763883,AGT_GRM7,AGT_GRM7,1
13,1,0.0,28.796764,CALM3_GRM7,CALM3_GRM7,1
14,1,0.0,6.392592,C3_GRM7,C3_GRM7,1
15,1,0.0,6.8742957,NGF_MAGED1,NGF_MAGED1,1
16,1,0.0,29.801111,CALM2_GRM7,CALM2_GRM7,1
18,1,0.0,11.512118,FGF9_FGFR3,FGF9_FGFR3,1
19,1,0.0,8.298735,SLIT2_GPC1,SLIT2_GPC1,1
22,1,0.0,21.486307,CALM1_PTPRA,CALM1_PTPRA,1
23,1,0.0,20.778175,APP_GRM7,APP_GRM7,1
24,1,0.0,7.511784,FGF7_FGFR3,FGF7_FGFR3,1
26,1,0.0,6.0751786,CRH_ADCYAP1R1,CRH_ADCYAP1R1,1
27,1,0.0,17.949728,HSP90AA1_FGFR3,HSP90AA1_FGFR3,1
28,1,0.0,5.4739933,ADAM9_ITGAV,ADAM9_ITGAV,1
29,1,0.0,9.051886,L1CAM_ITGAV,L1CAM_ITGAV,1
34,1,0.0,6.6244106,CALR_ITGAV,CALR_ITGAV,1
35,1,0.0,21.981901,GNAS_ADCY1,GNAS_ADCY1,1
36,1,0.0,11.871191,PON2_HTR2A,PON2_HTR2A,1
38,1,0.0,9.6271925,LAMA2_RPSA,LAMA2_RPSA,1
44,1,0.0,20.421694,CALM1_GRM5,CALM1_GRM5,1
46,1,8.576281321306828e-307,6.7692537,FGF14_FGFR3,FGF14_FGFR3,1
49,1,2.3146384970818778e-302,20.117586,CALM3_GRM5,CALM3_GRM5,1
51,1,2.8220824185312738e-294,18.149832,APP_RPSA,APP_RPSA,1
52,1,1.2880672139246158e-284,5.8310847,GNB3_GABBR2,GNB3_GABBR2,1
57,1,2.8868917552400064e-239,17.434963,CALM2_GRM5,CALM2_GRM5,1
61,1,3.352500900695909e-225,17.331818,CCK_CCKBR,CCK_CCKBR,1
77,1,3.9695586006098815e-133,8.241483,FYN_THY1,FYN_THY1,1
80,1,9.00935589354469e-123,5.0666223,FGF13_FGFR3,FGF13_FGFR3,1
81,1,1.66633623729546e-122,6.063979,APOE_SDC2,APOE_SDC2,1
83,1,5.3024919352093356e-118,7.9363265,CALM1_GRM3,CALM1_GRM3,1
85,1,1.8985985656242254e-106,10.883367,SPTAN1_PTPRA,SPTAN1_PTPRA,1
90,1,8.30070018762803e-85,5.4591284,RGMB_BMPR2,RGMB_BMPR2,1
93,1,2.5287170589687e-78,5.5373015,SST_GRM7,SST_GRM7,1
97,1,1.3930425950417983e-63,7.734218,SPTBN2_PTPRA,SPTBN2_PTPRA,1
105,1,4.8842059034961065e-45,5.9323173,CALM1_VIPR1,CALM1_VIPR1,1
305,2,0.0,80.55158,COL1A1_ITGB1,COL1A1_ITGB1,1
306,2,0.0,60.980534,FN1_ITGB1,FN1_ITGB1,1
307,2,0.0,73.88519,COL1A2_ITGB1,COL1A2_ITGB1,1
308,2,0.0,57.40239,COL3A1_ITGB1,COL3A1_ITGB1,1
309,2,0.0,29.642921,COL6A1_ITGB1,COL6A1_ITGB1,1
310,2,0.0,22.931402,HSPG2_ITGB1,HSPG2_ITGB1,1
311,2,0.0,28.185524,LUM_ITGB1,LUM_ITGB1,1
312,2,0.0,79.14592,HLA-B_CANX,HLA-B_CANX,1
313,2,0.0,38.39716,COL6A2_ITGB1,COL6A2_ITGB1,1
314,2,0.0,45.305885,FN1_ITGB8,FN1_ITGB8,1
