,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,group,ordered_group
5,gs_ind_0,ECM-receptor interaction,28/34,5.795982537951422e-10,1.564915285246884e-08,4.252818035426731,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMC3_ITGB1;LAMB2_ITGB1;LAMB3_ITGB1;SPP1_ITGB1;LAMA4_ITGAV;COL4A5_ITGAV;COL1A2_ITGAV;THBS1_SDC4;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;THBS2_ITGB1;COL6A1_ITGB1;COL4A1_ITGAV;FN1_ITGB1;LAMA1_ITGB8;FN1_ITGB8;COL4A1_ITGB1;SPP1_ITGAV;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,2,2
7,gs_ind_0,Focal adhesion,27/34,9.42122308386933e-09,8.479100775482397e-08,3.8205897051474262,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMC3_ITGB1;LAMB2_ITGB1;LAMB3_ITGB1;SPP1_ITGB1;LAMA4_ITGAV;COL4A5_ITGAV;COL1A2_ITGAV;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;THBS2_ITGB1;COL6A1_ITGB1;COL4A1_ITGAV;FN1_ITGB1;LAMA1_ITGB8;FN1_ITGB8;COL4A1_ITGB1;SPP1_ITGAV;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,2,2
10,gs_ind_0,Human papillomavirus infection,27/34,9.42122308386933e-09,8.479100775482397e-08,3.8205897051474262,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMC3_ITGB1;LAMB2_ITGB1;LAMB3_ITGB1;SPP1_ITGB1;LAMA4_ITGAV;COL4A5_ITGAV;COL1A2_ITGAV;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;THBS2_ITGB1;COL6A1_ITGB1;COL4A1_ITGAV;FN1_ITGB1;LAMA1_ITGB8;FN1_ITGB8;COL4A1_ITGB1;SPP1_ITGAV;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,2,2
15,gs_ind_0,PI3K-Akt signaling pathway,29/52,0.0007632257587735346,0.004121419097377088,2.3150476190476192,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMC3_ITGB1;LAMB2_ITGB1;LAMB3_ITGB1;SPP1_ITGB1;LAMA4_ITGAV;COL4A5_ITGAV;COL1A2_ITGAV;FGF1_FGFR2;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;FGF1_FGFR3;COL6A2_ITGB1;COL6A1_ITGB1;THBS2_ITGB1;COL4A1_ITGAV;FN1_ITGB1;LAMA1_ITGB8;FN1_ITGB8;COL4A1_ITGB1;SPP1_ITGAV;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,2,2
22,gs_ind_0,Small cell lung cancer,13/15,8.711611813866034e-05,0.0005880337974359573,2.704584040747029,LAMC1_ITGB1;COL4A1_ITGB1;FN1_ITGAV;LAMA4_ITGB1;COL4A5_ITGB1;LAMA4_ITGAV;COL4A5_ITGAV;COL4A1_ITGAV;LAMA5_ITGB1;LAMB2_ITGB1;LAMC3_ITGB1;FN1_ITGB1;LAMB3_ITGB1,2,2
3,gs_ind_0,ECM-receptor interaction,23/34,3.891283489454053e-09,8.171695327853512e-08,6.312077294685991,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMB2_ITGB1;SPP1_ITGB1;COL4A5_ITGAV;COL1A2_ITGAV;THBS1_SDC4;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;COL6A1_ITGB1;THBS2_ITGB1;FN1_ITGB1;FN1_ITGB8;SPP1_ITGAV;COL4A1_ITGB1;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,3,3
5,gs_ind_0,Focal adhesion,22/34,5.8789625214056325e-08,4.115273764983943e-07,5.332480818414322,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMB2_ITGB1;SPP1_ITGB1;COL4A5_ITGAV;COL1A2_ITGAV;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;COL6A1_ITGB1;THBS2_ITGB1;FN1_ITGB1;FN1_ITGB8;SPP1_ITGAV;COL4A1_ITGB1;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,3,3
8,gs_ind_0,Human papillomavirus infection,22/34,5.8789625214056325e-08,4.115273764983943e-07,5.332480818414322,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMB2_ITGB1;SPP1_ITGB1;COL4A5_ITGAV;COL1A2_ITGAV;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;COL6A1_ITGB1;THBS2_ITGB1;FN1_ITGB1;FN1_ITGB8;SPP1_ITGAV;COL4A1_ITGB1;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,3,3
10,gs_ind_0,PI3K-Akt signaling pathway,23/52,0.0005961396396046018,0.0031297331079241596,3.0736507936507937,LAMC1_ITGB1;COL6A3_ITGB1;COL4A5_ITGB1;COL9A2_ITGB1;LAMB2_ITGB1;SPP1_ITGB1;COL4A5_ITGAV;COL1A2_ITGAV;FGF1_FGFR2;COL9A3_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;LAMA4_ITGB1;COL6A2_ITGB1;COL6A1_ITGB1;THBS2_ITGB1;FN1_ITGB1;FN1_ITGB8;SPP1_ITGAV;COL4A1_ITGB1;FN1_ITGAV;LAMA5_ITGB1;COL1A1_ITGAV,3,3
17,gs_ind_0,Small cell lung cancer,9/15,0.007230214682192161,0.03036690166520708,2.522880720180045,LAMC1_ITGB1;COL4A1_ITGB1;FN1_ITGAV;LAMA4_ITGB1;COL4A5_ITGB1;COL4A5_ITGAV;LAMA5_ITGB1;LAMB2_ITGB1;FN1_ITGB1,3,3
