,cluster,pvals_adj,logfoldchanges,names,sample
0,1,0.0,21.830671,AFDN_EPHB6,151507
1,1,0.0,26.613846,EFNA1_EPHB6,151507
2,1,0.0,51.590256,CALM1_RYR2,151507
3,1,0.0,52.12785,CALM3_RYR2,151507
4,1,0.0,20.489937,EFNB2_EPHB6,151507
5,1,0.0,8.845116,CLCF1_IL6ST,151507
6,1,0.0,41.08523,RIMS1_SLC17A7,151507
7,1,0.0,9.837949,RGMA_BMPR2,151507
8,1,0.0,17.468462,SLIT1_GPC1,151507
9,1,0.0,19.48327,EFNA5_EPHB6,151507
10,1,0.0,11.449967,NRG1_GPC1,151507
11,1,0.0,7.545154,SHH_GPC1,151507
12,1,0.0,5.144235,CTHRC1_FZD3,151507
13,1,0.0,11.621699,S100A1_RYR2,151507
14,1,0.0,6.5549483,BMP1_BMPR2,151507
15,1,0.0,22.558523,EFNB3_EPHB6,151507
16,1,4.4504742333089935e-307,15.6767235,APP_NCSTN,151507
18,1,9.873907084332536e-264,6.9906225,VEGFA_GRIN2B,151507
19,1,4.7368347571575576e-262,8.681006,CDH1_PTPRF,151507
20,1,7.699263701152925e-260,5.0855513,CDH1_IGF1R,151507
21,1,2.2655917634648135e-241,6.1655803,IL16_GRIN2A,151507
22,1,2.0578748778082944e-232,10.123243,ADAM10_TSPAN5,151507
23,1,9.500973234166413e-229,7.146421,EFNB2_GRM5,151507
26,1,1.3386007608121828e-197,15.344211,EFNA3_EPHB6,151507
29,1,1.991995679615499e-147,7.817339,NCAM1_PTPRA,151507
30,1,2.924130681462977e-124,12.348115,APP_GPC1,151507
31,1,8.259164015760052e-118,6.5072665,RGMB_BMPR2,151507
32,1,1.1300988383798934e-108,10.126706,APP_RPSA,151507
35,1,4.519937188718693e-92,13.948548,BDNF_BEX3,151507
45,1,4.475934912281198e-48,7.8222017,EFNA5_EPHA4,151507
46,1,1.9062326308762258e-45,9.043727,SPTBN2_PTPRA,151507
52,1,1.1958528117296894e-25,11.122203,APP_GRM7,151507
56,1,1.1170004105891767e-23,6.9754753,SPTAN1_PTPRA,151507
65,1,2.175621644372945e-10,5.138084,HLA-B_CANX,151507
69,1,7.001449159629273e-08,12.459545,CALM2_GRM5,151507
70,1,9.877037402456795e-06,9.088151,CALM2_GRM7,151507
74,1,0.0012804253131517367,8.673258,CALM3_GRM7,151507
76,1,0.003466466359182501,11.922328,CALM3_GRM5,151507
98,1,2.030994827489922e-05,5.0338235,CALM1_GRM5,151507
181,2,1.561141607448644e-211,115.36538,COL1A1_ITGB1,151507
182,2,1.561141607448644e-211,251.4354,CALM2_AQP1,151507
183,2,1.561141607448644e-211,243.2834,CALM1_AQP1,151507
184,2,1.1992337653226645e-210,131.19164,SPP1_ITGAV,151507
185,2,6.064594985692722e-210,103.03368,EDIL3_ITGAV,151507
186,2,9.718542332401388e-208,112.34628,COL1A1_ITGAV,151507
187,2,1.2145696430191357e-207,107.247154,COL1A2_ITGAV,151507
188,2,2.5657388901190123e-207,59.957874,COL6A1_ITGB1,151507
189,2,8.143501856377588e-206,54.32256,MDK_SDC4,151507
190,2,8.143501856377588e-206,93.243004,AZGP1_ITGAV,151507
191,2,2.6687160655681432e-204,41.63038,COL4A1_ITGB1,151507
