,cluster,pvals_adj,logfoldchanges,names,g,membership
4,1,4.309905021778309e-60,5.822742,LGALS1_PTPRC,LGALS1_PTPRC,1
5,1,4.309905021778309e-60,8.636858,B2M_CD3D,B2M_CD3D,1
8,1,6.321659437333779e-60,8.718077,HLA-B_CD3D,HLA-B_CD3D,1
16,1,1.2347938979767714e-59,5.6707153,VIM_CD44,VIM_CD44,1
17,1,1.3938862655016815e-59,6.4005423,HLA-A_CD3D,HLA-A_CD3D,1
32,1,2.936014468035846e-59,7.27496,C3_ITGAX,C3_ITGAX,1
37,1,3.7486593552730724e-59,9.480575,B2M_HLA-F,B2M_HLA-F,1
49,1,9.777195001742425e-59,7.5681214,C3_ITGB2,C3_ITGB2,1
109,1,1.1607712937052191e-55,5.9604187,FN1_ITGA4,FN1_ITGA4,1
117,1,3.0829254321778284e-55,7.0303555,CCL5_SDC1,CCL5_SDC1,1
120,1,4.4555393460733665e-55,5.8127594,CALR_HLA-F,CALR_HLA-F,1
135,1,1.840336764760996e-54,5.085273,COL1A1_CD44,COL1A1_CD44,1
140,1,3.70630355918124e-54,7.2080526,FN1_ITGB7,FN1_ITGB7,1
250,1,1.266196845268451e-44,5.203085,COL1A1_ITGAV,COL1A1_ITGAV,1
993,2,3.917573119382428e-60,8.65617,S100A9_CD36,S100A9_CD36,1
995,2,3.917573119382428e-60,5.3571625,VEGFA_GPC1,VEGFA_GPC1,1
997,2,4.053401325342451e-60,21.017952,FN1_ITGB6,FN1_ITGB6,1
1017,2,1.3970895882425993e-59,7.8171363,SEMA4C_PLXNB2,SEMA4C_PLXNB2,1
1020,2,2.220562637749741e-59,8.884207,CDH1_PTPRF,CDH1_PTPRF,1
1038,2,6.273315714906609e-59,8.877155,CDH1_ERBB3,CDH1_ERBB3,1
1042,2,8.460610115721512e-59,7.6014853,THBS1_CD36,THBS1_CD36,1
1043,2,1.2024611096820257e-58,7.540955,COMP_CD36,COMP_CD36,1
1047,2,1.655231796785142e-58,6.966177,HSP90B1_ERBB2,HSP90B1_ERBB2,1
1048,2,1.727277736728272e-58,5.04461,VEGFA_ITGAV,VEGFA_ITGAV,1
1049,2,2.3143542476036347e-58,7.8351145,HSP90AA1_ERBB2,HSP90AA1_ERBB2,1
1063,2,8.53242822801688e-58,6.658003,S100A8_CD36,S100A8_CD36,1
1066,2,1.37346196872244e-57,9.077017,THBS2_CD36,THBS2_CD36,1
1068,2,1.661835577135278e-57,15.264086,COL1A2_CD36,COL1A2_CD36,1
1080,2,7.860104950252714e-57,5.2073226,FN1_ITGB1,FN1_ITGB1,1
1083,2,1.3302502188632506e-56,14.363636,COL1A1_CD36,COL1A1_CD36,1
1085,2,1.835634782627537e-56,9.005363,FN1_ITGA6,FN1_ITGA6,1
1091,2,3.5849095567176625e-56,5.99931,FBN1_ITGB6,FBN1_ITGB6,1
1093,2,9.033191783358382e-56,5.3472495,TNC_ITGB6,TNC_ITGB6,1
