,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster,ordered_cluster
0,KEGG_2021_Human,Cell adhesion molecules,9/148,8.149797881407464e-15,6.519838305125973e-13,0,0,116.78809679529104,3788.697336394037,PTPRC;ITGA4;ITGB2;HLA-B;SDC1;ITGAV;ITGB7;HLA-A;HLA-F,1,1
1,KEGG_2021_Human,ECM-receptor interaction,7/88,1.851613212424374e-12,7.406452849697495e-11,0,0,132.28205128205127,3573.594833401612,COL1A1;ITGA4;FN1;SDC1;ITGAV;ITGB7;CD44,1,1
2,KEGG_2021_Human,Epstein-Barr virus infection,8/202,1.069603922328483e-11,2.852277126209288e-10,0,0,67.99312714776632,1717.5844212797592,HLA-B;HLA-A;VIM;CALR;HLA-F;CD3D;B2M;CD44,1,1
3,KEGG_2021_Human,Phagosome,7/152,9.091770008863584e-11,1.818354001772717e-09,0,0,73.657824933687,1703.0474621475869,C3;ITGB2;HLA-B;ITGAV;HLA-A;CALR;HLA-F,1,1
4,KEGG_2021_Human,Human papillomavirus infection,8/331,5.480451972801475e-10,8.768723156482362e-09,0,0,40.57172342621259,865.1783438202083,COL1A1;ITGA4;FN1;HLA-B;ITGAV;ITGB7;HLA-A;HLA-F,1,1
5,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,7/219,1.1776680639400083e-09,1.5702240852533448e-08,0,0,50.20899854862119,1032.2834321784396,ITGB2;HLA-B;HLA-A;CALR;HLA-F;CD3D;B2M,1,1
6,KEGG_2021_Human,Human cytomegalovirus infection,7/225,1.4217777825629394e-09,1.6248888943576452e-08,0,0,48.812279463655614,994.3724094424748,CCL5;HLA-B;ITGAV;HLA-A;CALR;HLA-F;B2M,1,1
7,KEGG_2021_Human,Antigen processing and presentation,5/78,1.172977585089853e-08,1.172977585089853e-07,0,0,90.89954337899545,1659.9288588530228,HLA-B;HLA-A;CALR;HLA-F;B2M,1,1
8,KEGG_2021_Human,Human immunodeficiency virus 1 infection,6/212,4.5248497883959566e-08,4.022088700796406e-07,0,0,41.13869625520111,695.7004566316618,HLA-B;HLA-A;CALR;HLA-F;CD3D;B2M,1,1
9,KEGG_2021_Human,Regulation of actin cytoskeleton,6/218,5.3409064439823267e-08,4.272725155185861e-07,0,0,39.9622641509434,669.1795168121265,ITGA4;ITGB2;FN1;ITGAX;ITGAV;ITGB7,1,1
10,KEGG_2021_Human,Herpes simplex virus 1 infection,7/498,3.329736887227633e-07,2.279780821199964e-06,0,0,21.37286542378192,318.780612871424,C3;CCL5;HLA-B;HLA-A;CALR;HLA-F;B2M,1,1
11,KEGG_2021_Human,Viral myocarditis,4/60,3.419671231799946e-07,2.279780821199964e-06,0,0,88.94642857142857,1324.2834590055554,ITGB2;HLA-B;HLA-A;HLA-F,1,1
