,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,group,ordered_group,sample
2,gs_ind_0,NOTCH2 Activation and Transmission of Signal to the Nucleus,1/1,0.008403361344537815,0.037815126050420166,158.33333333333334,ADAM10_NOTCH2,2,2,A1
7,gs_ind_0,Signaling by NOTCH2,1/1,0.008403361344537815,0.037815126050420166,158.33333333333334,ADAM10_NOTCH2,2,2,A1
9,gs_ind_0,ECM-receptor interaction,30/101,0.0008572218129518902,0.044575534273498287,2.361013370865588,LAMA5_ITGB4;COL6A2_ITGB1;TNC_ITGB1;LAMB3_ITGA2;TNC_SDC4;FN1_ITGB6;LAMA5_ITGB1;LAMA2_ITGB4;LAMC2_ITGA2;COL6A1_ITGB1;TNC_SDC1;FN1_ITGB1;THBS1_ITGA3;FN1_ITGA3;COMP_ITGB1;LAMB2_ITGA3;TNC_ITGB6;LAMC2_ITGB1;TNC_ITGAV;LAMB3_ITGB1;LAMB2_ITGB4;COL1A2_ITGB1;COL1A1_ITGB1;LAMC2_ITGA3;LAMB1_ITGB4;LAMB3_ITGB4;LAMB3_ITGA3;LAMA5_ITGA3;THBS1_ITGB1;LAMC2_ITGB4,3,3,A1
0,gs_ind_0,Antigen processing and presentation,2/2,0.00436442989634479,0.04800872885979268,16.103448275862068,HLA-B_KLRD1;HLA-E_KLRD1,1,1,B1
7,gs_ind_0,Graft-versus-host disease,2/2,0.00436442989634479,0.04800872885979268,16.103448275862068,HLA-B_KLRD1;HLA-E_KLRD1,1,1,B1
0,gs_ind_0,Antigen processing and presentation,2/2,0.002000363702491362,0.016002909619930897,24.57894736842105,HLA-B_KLRD1;HLA-E_KLRD1,4,4,B1
8,gs_ind_0,Graft-versus-host disease,2/2,0.002000363702491362,0.016002909619930897,24.57894736842105,HLA-B_KLRD1;HLA-E_KLRD1,4,4,B1
0,gs_ind_0,Antigen processing and presentation,2/2,0.0009322665943453793,0.015848532103871448,36.05263157894737,HLA-B_KLRD1;HLA-E_KLRD1,1,1,C1
6,gs_ind_0,Graft-versus-host disease,2/3,0.002747733120175855,0.02335573152149477,25.67669172932331,HLA-B_KLRD1;HLA-E_KLRD1,1,1,C1
21,gs_ind_0,Signaling by ERBB2,2/2,0.0023052410332903926,0.01613668723303275,22.096774193548388,HSP90AA1_ERBB2;HSP90AA1_EGFR,2,2,C1
22,gs_ind_0,Signaling by ERBB2 ECD mutants,2/2,0.0023052410332903926,0.01613668723303275,22.096774193548388,HSP90AA1_ERBB2;HSP90AA1_EGFR,2,2,C1
23,gs_ind_0,Signaling by ERBB2 KD Mutants,2/2,0.0023052410332903926,0.01613668723303275,22.096774193548388,HSP90AA1_ERBB2;HSP90AA1_EGFR,2,2,C1
24,gs_ind_0,Signaling by ERBB2 in Cancer,2/2,0.0023052410332903926,0.01613668723303275,22.096774193548388,HSP90AA1_ERBB2;HSP90AA1_EGFR,2,2,C1
0,gs_ind_0,Legionellosis,1/1,0.006756756756756758,0.010135135135135137,295.0,C3_ITGB2,1,1,F1
1,gs_ind_0,Leishmaniasis,1/1,0.006756756756756758,0.010135135135135137,295.0,C3_ITGB2,1,1,F1
2,gs_ind_0,Tuberculosis,1/3,0.020270270270270275,0.020270270270270275,124.71428571428571,C3_ITGB2,1,1,F1
4,gs_ind_0,ECM-receptor interaction,42/119,1.5530828049359555e-08,3.8827070123398885e-07,4.132881258115712,COL6A2_ITGA2;COL4A5_ITGB1;LAMC1_ITGB1;LAMB2_ITGB1;COL6A2_ITGB1;TNC_ITGB1;LAMB3_ITGA2;TNC_SDC4;FN1_ITGB6;LAMA5_ITGB1;COL4A5_ITGA2;COL4A6_ITGAV;SPP1_ITGB5;COL4A6_ITGB1;TNC_SDC1;COL6A1_ITGB1;COL6A1_ITGA2;COL1A1_ITGA2;FN1_ITGB1;LAMA5_ITGA2;COL4A1_ITGA2;COMP_ITGB1;LAMC1_ITGA2;COL4A1_ITGB1;COL4A5_ITGAV;TNC_ITGB6;TNC_ITGAV;COL6A3_ITGB1;LAMB3_ITGB1;THBS2_CD36;COL1A2_ITGB1;THBS2_ITGB1;COL1A1_ITGB1;FN1_ITGAV;COL4A6_ITGA2;COL4A6_ITGA1;SPP1_ITGB1;SPP1_ITGAV;COL6A3_ITGA2;COL1A2_ITGA2;THBS1_ITGB1;THBS1_CD36,1,1,G2
6,gs_ind_0,Focal adhesion,42/127,2.188816225589337e-07,2.736020281986671e-06,3.689655172413793,COL6A2_ITGA2;COL4A5_ITGB1;LAMC1_ITGB1;FN1_ITGA6;LAMB2_ITGB1;COL6A2_ITGB1;TNC_ITGB1;LAMB3_ITGA2;FN1_ITGB6;LAMA5_ITGB1;COL4A5_ITGA2;COL4A6_ITGAV;SPP1_ITGB5;COL4A6_ITGB1;COL6A1_ITGB1;COL6A1_ITGA2;COL1A1_ITGA2;FN1_ITGB1;LAMA5_ITGA2;COL4A1_ITGA2;COMP_ITGB1;LAMC1_ITGA2;COL4A1_ITGB1;COL4A5_ITGAV;TNC_ITGB6;TNC_ITGAV;COL6A3_ITGB1;LAMB3_ITGB1;VEGFA_EGFR;FN1_ITGA2;COL1A2_ITGB1;THBS2_ITGB1;COL1A1_ITGB1;FN1_ITGAV;COL4A6_ITGA2;TNC_ITGA2;COL4A6_ITGA1;SPP1_ITGB1;SPP1_ITGAV;COL6A3_ITGA2;COL1A2_ITGA2;THBS1_ITGB1,1,1,G2
7,gs_ind_0,Human papillomavirus infection,41/133,5.8001572819980804e-06,4.833464401665067e-05,3.0985864443639,COL6A2_ITGA2;COL4A5_ITGB1;LAMC1_ITGB1;FN1_ITGA6;LAMB2_ITGB1;COL6A2_ITGB1;TNC_ITGB1;LAMB3_ITGA2;FN1_ITGB6;LAMA5_ITGB1;COL4A5_ITGA2;COL4A6_ITGAV;SPP1_ITGB5;COL4A6_ITGB1;COL6A1_ITGB1;COL6A1_ITGA2;COL1A1_ITGA2;FN1_ITGB1;LAMA5_ITGA2;COL4A1_ITGA2;COMP_ITGB1;LAMC1_ITGA2;COL4A1_ITGB1;COL4A5_ITGAV;TNC_ITGB6;TNC_ITGAV;COL6A3_ITGB1;LAMB3_ITGB1;FN1_ITGA2;COL1A2_ITGB1;THBS2_ITGB1;COL1A1_ITGB1;FN1_ITGAV;COL4A6_ITGA2;TNC_ITGA2;COL4A6_ITGA1;SPP1_ITGB1;SPP1_ITGAV;COL6A3_ITGA2;COL1A2_ITGA2;THBS1_ITGB1,1,1,G2
