,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,group,ordered_group,sample
0,gs_ind_0,Adrenergic signaling in cardiomyocytes,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
1,gs_ind_0,Aldosterone synthesis and secretion,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
2,gs_ind_0,Axon guidance,1/14,0.6332198153271444,0.6648808060935018,1.4983314794215796,EFNB2_EPHB4,1,1,A1
3,gs_ind_0,Bile secretion,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
4,gs_ind_0,Calcium signaling pathway,1/8,0.4318754313982918,0.5334931799625958,2.6242884250474385,GNAS_ADCY7,1,1,A1
5,gs_ind_0,Cellular senescence,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,TGFB1_TGFBR1,1,1,A1
6,gs_ind_0,Chronic myeloid leukemia,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,TGFB1_TGFBR1,1,1,A1
7,gs_ind_0,Circadian entrainment,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
8,gs_ind_0,Cortisol synthesis and secretion,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
9,gs_ind_0,Cushing syndrome,1/9,0.47139714051841064,0.5711157663973052,2.33786078098472,GNAS_ADCY7,1,1,A1
10,gs_ind_0,Cytokine-cytokine receptor interaction,1/22,0.799251131428496,0.799251131428496,0.9311827956989247,TGFB1_TGFBR1,1,1,A1
11,gs_ind_0,Dilated cardiomyopathy (DCM),1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
12,gs_ind_0,ECM-receptor interaction,9/101,0.1848412513418409,0.41609632200638597,1.715927750410509,COL1A1_ITGAV;COL4A1_ITGAV;COL1A1_ITGA11;COL1A2_ITGAV;COL1A1_CD44;FN1_ITGAV;COL4A3_ITGAV;FN1_ITGA4;COL1A1_ITGA1,1,1,A1
13,gs_ind_0,EGFR tyrosine kinase inhibitor resistance,1/11,0.5428332428799768,0.5999735842357639,1.9144460028050492,TGFA_ERBB2,1,1,A1
14,gs_ind_0,Endocrine resistance,1/17,0.7066399913247761,0.7180374105396918,1.2248847926267281,GNAS_ADCY7,1,1,A1
15,gs_ind_0,Estrogen signaling pathway,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
16,gs_ind_0,Focal adhesion,9/110,0.282410046097811,0.4238765475236509,1.473001508295626,FN1_ITGA6;COL1A1_ITGAV;COL4A1_ITGAV;COL1A1_ITGA11;COL1A2_ITGAV;FN1_ITGAV;COL4A3_ITGAV;FN1_ITGA4;COL1A1_ITGA1,1,1,A1
17,gs_ind_0,FoxO signaling pathway,1/5,0.2960407633498514,0.4238765475236509,4.108504398826979,TGFB1_TGFBR1,1,1,A1
18,gs_ind_0,Gap junction,1/6,0.34438131178934656,0.46161750303678367,3.4615384615384617,GNAS_ADCY7,1,1,A1
19,gs_ind_0,Gastric acid secretion,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
20,gs_ind_0,Gastric cancer,1/11,0.5428332428799768,0.5999735842357639,1.9144460028050492,TGFB1_TGFBR1,1,1,A1
21,gs_ind_0,Glutamatergic synapse,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
22,gs_ind_0,GnRH signaling pathway,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
23,gs_ind_0,"Growth hormone synthesis, secretion and action",1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
24,gs_ind_0,Hepatitis B,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,TGFB1_TGFBR1,1,1,A1
25,gs_ind_0,Hepatocellular carcinoma,1/13,0.6051409495148683,0.6573082727489087,1.6164874551971327,TGFB1_TGFBR1,1,1,A1
26,gs_ind_0,Hippo signaling pathway,1/10,0.5083300913992203,0.5930517732990903,2.1059907834101383,TGFB1_TGFBR1,1,1,A1
27,gs_ind_0,Human T-cell leukemia virus 1 infection,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,TGFB1_TGFBR1,1,1,A1
28,gs_ind_0,Human cytomegalovirus infection,1/7,0.38959639373490884,0.5109456571619417,2.9870967741935486,GNAS_ADCY7,1,1,A1
29,gs_ind_0,Human papillomavirus infection,9/114,0.3321040276566963,0.454838124834171,1.3772925764192139,FN1_ITGA6;COL1A1_ITGAV;COL4A1_ITGAV;COL1A1_ITGA11;COL1A2_ITGAV;FN1_ITGAV;COL4A3_ITGAV;FN1_ITGA4;COL1A1_ITGA1,1,1,A1
30,gs_ind_0,Inflammatory mediator regulation of TRP channels,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
31,gs_ind_0,Insulin secretion,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
32,gs_ind_0,MAPK signaling pathway,2/26,0.5418831611846767,0.5999735842357639,1.3825634352635003,TGFB1_TGFBR1;TGFA_ERBB2,1,1,A1
33,gs_ind_0,Melanogenesis,1/8,0.4318754313982918,0.5334931799625958,2.6242884250474385,GNAS_ADCY7,1,1,A1
34,gs_ind_0,Morphine addiction,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
35,gs_ind_0,NOTCH2 Activation and Transmission of Signal to the Nucleus,1/1,0.06722689075630252,0.41609632200638597,15.32258064516129,ADAM10_NOTCH2,1,1,A1
36,gs_ind_0,Non-small cell lung cancer,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,TGFA_ERBB2,1,1,A1
37,gs_ind_0,Osteoclast differentiation,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,TGFB1_TGFBR1,1,1,A1
38,gs_ind_0,Ovarian steroidogenesis,1/3,0.18916848009317436,0.41609632200638597,6.511520737327189,GNAS_ADCY7,1,1,A1
39,gs_ind_0,Oxytocin signaling pathway,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
40,gs_ind_0,PI3K-Akt signaling pathway,10/127,0.31087066634555205,0.43521893288377284,1.4126696832579186,FN1_ITGA6;TGFA_ERBB2;COL1A1_ITGAV;COL4A1_ITGAV;COL1A1_ITGA11;COL1A2_ITGAV;FN1_ITGAV;COL4A3_ITGAV;FN1_ITGA4;COL1A1_ITGA1,1,1,A1
41,gs_ind_0,Pancreatic cancer,1/5,0.2960407633498514,0.4238765475236509,4.108504398826979,TGFB1_TGFBR1,1,1,A1
42,gs_ind_0,Pancreatic secretion,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
43,gs_ind_0,"Parathyroid hormone synthesis, secretion and action",1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
44,gs_ind_0,Pathways in cancer,5/76,0.6216208498154371,0.6637646362436023,1.0159136118215402,FN1_ITGA6;COL4A1_ITGAV;FN1_ITGAV;COL4A3_ITGAV;TGFB1_TGFBR1,1,1,A1
45,gs_ind_0,Phospholipase D signaling pathway,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
46,gs_ind_0,Platelet activation,1/10,0.5083300913992203,0.5930517732990903,2.1059907834101383,GNAS_ADCY7,1,1,A1
47,gs_ind_0,Prostate cancer,1/5,0.2960407633498514,0.4238765475236509,4.108504398826979,TGFA_ERBB2,1,1,A1
48,gs_ind_0,Proteoglycans in cancer,2/20,0.3974021777926214,0.5109456571619417,1.8376787216148023,DCN_MET;FN1_ITGAV,1,1,A1
49,gs_ind_0,Rap1 signaling pathway,1/17,0.7066399913247761,0.7180374105396918,1.2248847926267281,GNAS_ADCY7,1,1,A1
50,gs_ind_0,Regulation of actin cytoskeleton,3/18,0.10896553003574656,0.41609632200638597,3.09009009009009,FN1_ITGA6;FN1_ITGAV;FN1_ITGA4,1,1,A1
51,gs_ind_0,Regulation of lipolysis in adipocytes,1/4,0.24437403038470287,0.41609632200638597,5.043010752688172,GNAS_ADCY7,1,1,A1
52,gs_ind_0,Relaxin signaling pathway,2/6,0.05433802115237552,0.41609632200638597,6.16710875331565,GNAS_ADCY7;TGFB1_TGFBR1,1,1,A1
53,gs_ind_0,Salivary secretion,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
54,gs_ind_0,Signaling by NOTCH,1/3,0.18916848009317436,0.41609632200638597,6.511520737327189,ADAM10_NOTCH2,1,1,A1
55,gs_ind_0,Signaling by NOTCH2,1/1,0.06722689075630252,0.41609632200638597,15.32258064516129,ADAM10_NOTCH2,1,1,A1
56,gs_ind_0,Small cell lung cancer,4/41,0.2886684365027246,0.4238765475236509,1.7132530120481928,FN1_ITGA6;COL4A1_ITGAV;FN1_ITGAV;COL4A3_ITGAV,1,1,A1
57,gs_ind_0,Th17 cell differentiation,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,TGFB1_TGFBR1,1,1,A1
58,gs_ind_0,Thermogenesis,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
59,gs_ind_0,Thyroid hormone synthesis,1/2,0.13019891500904157,0.41609632200638597,9.154838709677419,GNAS_ADCY7,1,1,A1
60,gs_ind_0,Vascular smooth muscle contraction,1/5,0.2960407633498514,0.4238765475236509,4.108504398826979,GNAS_ADCY7,1,1,A1
61,gs_ind_0,Yersinia infection,1/3,0.18916848009317436,0.41609632200638597,6.511520737327189,FN1_ITGA4,1,1,A1
62,gs_ind_0,cAMP signaling pathway,1/5,0.2960407633498514,0.4238765475236509,4.108504398826979,GNAS_ADCY7,1,1,A1
0,gs_ind_0,ECM-receptor interaction,5/101,0.05115877218138993,0.1409642706083863,4.967159277504105,FN1_ITGB6;FN1_ITGA3;LAMA5_ITGB4;COMP_ITGB1;LAMB2_ITGB4,2,2,A1
1,gs_ind_0,Focal adhesion,5/110,0.07517438407624166,0.1409642706083863,4.26395173453997,FN1_ITGB6;FN1_ITGA3;LAMA5_ITGB4;COMP_ITGB1;LAMB2_ITGB4,2,2,A1
2,gs_ind_0,Human papillomavirus infection,5/114,0.08810266913024144,0.1409642706083863,3.986899563318777,FN1_ITGB6;FN1_ITGA3;LAMA5_ITGB4;COMP_ITGB1;LAMB2_ITGB4,2,2,A1
3,gs_ind_0,MAPK signaling pathway,1/26,0.504389349379897,0.6725191325065293,2.1869639794168094,AREG_ERBB3,2,2,A1
4,gs_ind_0,PI3K-Akt signaling pathway,6/127,0.02182197026258151,0.1409642706083863,11.368627450980393,FN1_ITGB6;AREG_ERBB3;FN1_ITGA3;LAMA5_ITGB4;COMP_ITGB1;LAMB2_ITGB4,2,2,A1
5,gs_ind_0,Pathways in cancer,1/76,0.9034976720268029,0.9034976720268029,0.5793226381461676,FN1_ITGA3,2,2,A1
6,gs_ind_0,Regulation of actin cytoskeleton,2/18,0.0676856907773661,0.1409642706083863,6.621621621621622,FN1_ITGB6;FN1_ITGA3,2,2,A1
7,gs_ind_0,Small cell lung cancer,1/41,0.6826487379415633,0.7801699862189295,1.2979189485213583,FN1_ITGA3,2,2,A1
0,gs_ind_0,Adrenergic signaling in cardiomyocytes,1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,GNAS_ADCY9,3,3,A1
1,gs_ind_0,Aldosterone synthesis and secretion,1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,GNAS_ADCY9,3,3,A1
2,gs_ind_0,Apelin signaling pathway,1/4,0.6681674801688582,0.7467754190122533,1.3834808259587021,GNAI2_ADCY9,3,3,A1
3,gs_ind_0,Axon guidance,5/14,0.22283911510607501,0.5534921083230324,1.6220032840722496,EFNB1_EPHB3;SEMA4C_PLXNB2;EFNB1_EPHB4;SEMA4D_PLXNB2;EFNB1_EPHB6,3,3,A1
4,gs_ind_0,Bacterial invasion of epithelial cells,1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,FN1_ITGB1,3,3,A1
5,gs_ind_0,Basal cell carcinoma,4/5,0.01240691524217461,0.23932209795962728,3.570943075615973,WNT7B_FZD1;WNT3A_FZD1;WNT3A_FZD2;WNT7B_FZD4,3,3,A1
6,gs_ind_0,Bile secretion,1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,GNAS_ADCY9,3,3,A1
7,gs_ind_0,Breast cancer,7/21,0.21123877303284472,0.5534921083230324,1.502417683628828,JAG2_NOTCH1;WNT3A_FZD2;JAG2_NOTCH3;WNT7B_FZD1;WNT7B_LRP5;WNT7B_FZD4;WNT3A_FZD1,3,3,A1
8,gs_ind_0,Calcium signaling pathway,1/8,0.892274025145607,0.9041710121475485,0.7199375325351379,GNAS_ADCY9,3,3,A1
9,gs_ind_0,Chemokine signaling pathway,2/14,0.890253958107631,0.9041710121475485,0.697421559490525,CXCL14_CXCR4;GNAI2_ADCY9,3,3,A1
10,gs_ind_0,Cholinergic synapse,1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,GNAI2_ADCY9,3,3,A1
11,gs_ind_0,Circadian entrainment,2/4,0.24312357836267656,0.5534921083230324,2.3473473473473474,GNAS_ADCY9;GNAI2_ADCY9,3,3,A1
12,gs_ind_0,Cortisol synthesis and secretion,1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,GNAS_ADCY9,3,3,A1
13,gs_ind_0,Cushing syndrome,6/9,0.006884604454375032,0.23932209795962728,3.049054675523761,GNAS_ADCY9;GNAI2_ADCY9;WNT3A_FZD2;WNT7B_FZD1;WNT7B_FZD4;WNT3A_FZD1,3,3,A1
14,gs_ind_0,Dilated cardiomyopathy (DCM),1/2,0.42240187214126157,0.5534921083230324,2.511504424778761,GNAS_ADCY9,3,3,A1
15,gs_ind_0,ECM-receptor interaction,32/101,0.01259589989261196,0.23932209795962728,1.7265526900415338,TNC_SDC4;FN1_ITGB6;COL6A2_ITGB1;LAMB3_ITGB1;LAMB2_ITGB4;FN1_ITGB1;LAMA2_ITGA3;THBS1_ITGB1;LAMB3_ITGB4;COL6A1_ITGB1;COL1A2_ITGB1;FN1_ITGA3;LAMB1_ITGB4;LAMA5_ITGB1;COL1A1_ITGB1;LAMA5_ITGA3;LAMB2_ITGB1;LAMB3_ITGA2;TNC_ITGB1;LAMB3_ITGA3;COMP_ITGB1;LAMC2_ITGB1;TNC_SDC1;TNC_ITGB6;LAMA2_ITGB4;LAMA5_ITGB4;LAMC2_ITGB4;LAMC2_ITGA3;THBS1_ITGA3;TNC_ITGAV;LAMB2_ITGA3;LAMC2_ITGA2,3,3,A1
