,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster,ordered_cluster,sample
0,KEGG_2021_Human,ECM-receptor interaction,4/88,1.2121132386078124e-08,3.878762363545e-07,0,0,316.015873015873,5760.4370140542815,COL1A1;FN1;ITGAV;ITGA5,1,1,A1
1,KEGG_2021_Human,Focal adhesion,4/201,3.384308864397607e-07,3.9063960352438384e-06,0,0,133.98307952622673,1996.2066589227811,COL1A1;FN1;ITGAV;ITGA5,1,1,A1
2,KEGG_2021_Human,Proteoglycans in cancer,4/205,3.662246283041099e-07,3.9063960352438384e-06,0,0,131.29021558872304,1945.72348340374,COL1A1;FN1;ITGAV;ITGA5,1,1,A1
3,KEGG_2021_Human,Human papillomavirus infection,4/331,2.479170607875335e-06,1.983336486300268e-05,0,0,80.18756371049949,1035.0279136973668,COL1A1;FN1;ITGAV;ITGA5,1,1,A1
4,KEGG_2021_Human,PI3K-Akt signaling pathway,4/354,3.238246432286954e-06,2.0724777166636503e-05,0,0,74.83047619047619,945.893032859476,COL1A1;FN1;ITGAV;ITGA5,1,1,A1
5,KEGG_2021_Human,Regulation of actin cytoskeleton,3/218,4.328503234742615e-05,0.00023085350585293947,0,0,68.99302325581395,693.2214520048454,FN1;ITGAV;ITGA5,1,1,A1
6,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,2/77,0.0003034160628500144,0.0012136642514,0,0,106.22933333333332,860.5006812675136,ITGAV;ITGA5,1,1,A1
7,KEGG_2021_Human,Bacterial invasion of epithelial cells,2/77,0.0003034160628500144,0.0012136642514,0,0,106.22933333333332,860.5006812675136,FN1;ITGA5,1,1,A1
8,KEGG_2021_Human,Hypertrophic cardiomyopathy,2/90,0.0004144053627379791,0.0013093377956954,0,0,90.47727272727272,704.6972511803252,ITGAV;ITGA5,1,1,A1
9,KEGG_2021_Human,Small cell lung cancer,2/92,0.0004329893407438501,0.0013093377956954,0,0,88.45777777777778,685.0875715434879,FN1;ITGAV,1,1,A1
10,KEGG_2021_Human,Dilated cardiomyopathy,2/96,0.0004713603714468496,0.0013093377956954,0,0,84.67659574468085,648.6132088589799,ITGAV;ITGA5,1,1,A1
11,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0005113327792346296,0.0013093377956954,0,0,81.20408163265306,615.4043164173056,COL1A1;FN1,1,1,A1
12,KEGG_2021_Human,Amoebiasis,2/102,0.0005319184795012633,0.0013093377956954,0,0,79.572,599.894924456191,COL1A1;FN1,1,1,A1
13,KEGG_2021_Human,Yersinia infection,2/137,0.000956414098463136,0.0021860893679157,0,0,58.83851851851852,409.0641844315812,FN1;ITGA5,1,1,A1
14,KEGG_2021_Human,Phagosome,2/152,0.0011752198301649,0.0025071356376852,0,0,52.91466666666667,356.97821887556444,ITGAV;ITGA5,1,1,A1
15,KEGG_2021_Human,Pathways in cancer,2/531,0.0135233413849574,0.0270466827699148,0,0,14.71758034026465,63.33472414513937,FN1;ITGAV,1,1,A1
16,KEGG_2021_Human,Cholesterol metabolism,1/50,0.0173717414502839,0.0326997486122992,0,0,67.83673469387755,274.9362107684438,APOE,1,1,A1
17,KEGG_2021_Human,Pertussis,1/76,0.0263023993869505,0.0467598211323565,0,0,44.26222222222222,161.0301743357976,ITGA5,1,1,A1
0,KEGG_2021_Human,Human papillomavirus infection,9/331,2.0383691104637823e-10,3.0779373568003126e-08,0,0,32.31055900621118,720.9681494947951,NOTCH2;ITGB5;EGF;FN1;HLA-B;GNAS;ITGA6;HLA-A;TNFRSF1A,2,2,A1
1,KEGG_2021_Human,Pathways in cancer,10/531,5.798525938562907e-10,4.3778870836149946e-08,0,0,23.336132437619963,496.318633216856,NOTCH2;EGF;TGFB3;CDH1;ERBB2;FN1;GNAS;ITGA6;MET;HSP90B1,2,2,A1
2,KEGG_2021_Human,Focal adhesion,6/201,1.8616606676837615e-07,9.370358694008266e-06,0,0,30.42923076923077,471.5504308960576,ITGB5;EGF;ERBB2;FN1;ITGA6;MET,2,2,A1
3,KEGG_2021_Human,PI3K-Akt signaling pathway,7/354,2.525520110046307e-07,9.53383841542481e-06,0,0,20.838616714697405,316.57294296627936,ITGB5;EGF;ERBB2;FN1;ITGA6;MET;HSP90B1,2,2,A1
4,KEGG_2021_Human,Gastric cancer,5/149,1.2438865154236069e-06,3.756537276579293e-05,0,0,32.78769841269841,445.8231812205297,EGF;TGFB3;CDH1;ERBB2;MET,2,2,A1
5,KEGG_2021_Human,Proteoglycans in cancer,5/205,5.948015058478435e-06,0.0001375911379955953,0,0,23.54047619047619,283.24967330495394,ITGB5;ERBB2;FN1;TIMP3;MET,2,2,A1
6,KEGG_2021_Human,Dilated cardiomyopathy,4/96,6.87126839580342e-06,0.0001375911379955953,0,0,39.29249011857708,467.1154816483118,ITGB5;TGFB3;GNAS;ITGA6,2,2,A1
